Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,149748685,0.50
2,1,53086492,0.17
3,1,11024274,0.08
4,1,44265784,0.12
5,1,94550941,0.38
6,1,45019523,0.21
7,1,109271762,0.46
8,1,55784974,0.29
9,1,30648305,0.17
10,1,24658865,0.08
11,2,71489728,0.33
12,2,50624489,0.42
13,2,51663212,0.21
14,2,37535532,0.25
15,2,70284185,0.33
16,2,7691888,0.08
17,2,82633958,0.42
18,2,31098362,0.17
19,2,57993127,0.38
20,2,18566599,0.08
21,3,26227108,0.17
22,3,53932421,0.29
23,3,77418115,0.46
24,3,91376996,0.42
25,3,22937575,0.12
26,3,80535749,0.50
27,3,13983666,0.12
28,3,22734096,0.25
29,3,77900947,0.42
30,3,58184322,0.42
31,4,31428611,0.17
32,4,19310122,0.12
33,4,43034596,0.21
34,4,26326869,0.12
35,4,3191529,0.08
36,4,80611572,0.46
37,4,14925307,0.08
38,4,72858058,0.46
39,4,42939270,0.25
40,4,27468280,0.21
41,5,31154081,0.12
42,5,17666219,0.12
43,5,40834860,0.17
44,5,55062505,0.29
45,5,20000126,0.12
46,5,59592299,0.38
47,5,79918213,0.42
48,5,98518004,0.46
49,5,18990818,0.12
50,5,96934748,0.46
51,6,16640894,0.08
52,6,78887524,0.38
53,6,52134442,0.17
54,6,59811984,0.33
55,6,43149210,0.25
56,6,62320964,0.25
57,6,68953823,0.21
58,6,79038067,0.33
59,6,69257710,0.38
60,6,38638043,0.17
61,7,15722857,0.08
62,7,77779680,0.33
63,7,11742738,0.08
64,7,90054156,0.46
65,7,51842284,0.33
66,7,99544264,0.50
67,7,11086074,0.08
68,7,35541073,0.21
69,7,107196218,0.42
70,7,13761268,0.08
71,8,69026381,0.42
72,8,5089511,0.08
73,8,101972956,0.46
74,8,50335349,0.21
75,8,76079920,0.46
76,8,87299654,0.33
77,8,43988444,0.25
78,8,10442923,0.12
79,8,12689487,0.08
80,8,50979929,0.33
81,9,73345569,0.42
82,9,50787559,0.21
83,9,91399234,0.42
84,9,86583091,0.42
85,9,56760218,0.25
86,9,25877088,0.12
87,9,109135963,0.50
88,9,57420334,0.29
89,9,80523406,0.50
90,9,110052005,0.46
91,10,105437249,0.42
92,10,68865806,0.21
93,10,87344990,0.33
94,10,42378967,0.21
95,10,113086011,0.50
96,10,95418429,0.42
97,10,28266140,0.12
98,10,59335268,0.33
99,10,105275723,0.46
100,10,109932726,0.38
101,11,25160005,0.12
102,11,26320901,0.17
103,11,53114382,0.29
104,11,49262833,0.33
105,11,5226603,0.08
106,11,41798513,0.21
107,11,51647968,0.25
108,11,94102436,0.50
109,11,88241879,0.50
110,11,110884246,0.46
111,12,41939667,0.33
112,12,47070544,0.33
113,12,46815005,0.21
114,12,46128566,0.25
115,12,83423562,0.50
116,12,30508692,0.21
117,12,66623062,0.33
118,12,90493683,0.46
119,12,53221424,0.33
120,12,94508631,0.50
121,13,98877230,0.50
122,13,23396295,0.08
123,13,53041384,0.29
124,13,74781939,0.46
125,13,39112901,0.29
126,13,61878034,0.29
127,13,58820507,0.33
128,13,51491491,0.29
129,13,29492482,0.21
130,13,85905044,0.50
131,14,95713428,0.46
132,14,86791047,0.46
133,14,42375610,0.21
134,14,89818741,0.46
135,14,42324635,0.21
136,14,89896148,0.50
137,14,67888461,0.38
138,14,42778711,0.21
139,14,37231977,0.21
140,14,60795054,0.29
141,15,86684645,0.46
142,15,85350199,0.38
143,15,59735569,0.33
144,15,37066636,0.21
145,15,62524563,0.25
146,15,12627263,0.08
147,15,24372201,0.12
148,15,75064545,0.42
149,15,76128422,0.33
150,15,21324987,0.08
151,16,61088792,0.33
152,16,30986150,0.25
153,16,56388782,0.29
154,16,22834008,0.21
155,16,68263191,0.42
156,16,24324658,0.17
157,16,49853858,0.29
158,16,81676791,0.46
159,16,72044510,0.33
160,16,24018902,0.17
161,17,94914305,0.42
162,17,42844362,0.21
163,17,114641039,0.46
164,17,42545691,0.12
165,17,128713570,0.42
166,17,68736313,0.21
167,17,100332071,0.42
168,17,67802974,0.25
169,17,29762642,0.12
170,17,41273839,0.12
171,18,42775211,0.25
172,18,21466152,0.21
173,18,74242063,0.33
174,18,89930035,0.46
175,18,41222201,0.25
176,18,35049986,0.21
177,18,102815227,0.46
178,18,69804329,0.33
179,18,33992764,0.12
180,18,74828322,0.46
181,19,17950118,0.12
182,19,17276949,0.12
183,19,55807355,0.21
184,19,19765008,0.08
185,19,63035206,0.25
186,19,88887081,0.42
187,19,97807849,0.46
188,19,16885483,0.12
189,19,74480330,0.46
190,19,37982936,0.17
191,20,50976227,0.25
192,20,82074241,0.46
193,20,56965578,0.25
194,20,122411856,0.50
195,20,79500250,0.38
196,20,38628383,0.21
197,20,49285444,0.25
198,20,84023804,0.42
199,20,77263836,0.38
200,20,93338006,0.50
201,21,8481001,0.08
202,21,33395260,0.08
203,21,32833362,0.12
204,21,31623618,0.12
205,21,16302470,0.12
206,21,114471727,0.50
207,21,53664419,0.17
208,21,68559959,0.25
209,21,111745686,0.46
210,21,91805622,0.42
211,22,66231115,0.46
212,22,46482870,0.29
213,22,11815650,0.08
214,22,48149181,0.29
215,22,17284084,0.17
216,22,73117584,0.33
217,22,6833441,0.08
218,22,31260206,0.17
219,22,12289243,0.08
220,22,32510865,0.29
221,23,35112044,0.12
222,23,69171148,0.25
223,23,79961731,0.38
224,23,22512928,0.12
225,23,118777695,0.50
226,23,109481477,0.46
227,23,56846651,0.25
228,23,79155278,0.33
229,23,102158551,0.42
230,23,109166056,0.50
231,24,24855174,0.17
232,24,108901774,0.50
233,24,69938643,0.25
234,24,21919563,0.17
235,24,82148175,0.38
236,24,82846601,0.29
237,24,89564187,0.38
238,24,87030516,0.38
239,24,45808917,0.21
240,24,21178610,0.12
241,25,20793832,0.08
242,25,8263932,0.08
243,25,24300313,0.17
244,25,15626164,0.08
245,25,52994993,0.38
246,25,60182858,0.29
247,25,57687149,0.21
248,25,30406439,0.21
