Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
37,0.268712,13.7588,1
28,0.004899,14.2766,1
1,0.531032,13.3889,1
19,0.00717,13.166,1
73,2.617309,13.2504,1
91,0.00224,12.9925,1
82,0.06411,13.8104,1
10,0.237571,13.3224,1
127,0.00105,13.4601,1
46,1.721411,12.6207,1
118,0.684341,13.3879,1
55,3.100945,12.6591,1
100,3.979433,13.5071,1
109,1.151859,13.8995,2
64,0.00005,13.3562,1
2,0.000082,13.6784,1
38,0.400478,13.2903,2
128,0.840831,13.4559,1
29,4.93728,14.0648,1
74,0.013427,13.5529,1
20,0.163612,13.5762,1
92,0.000098,13.4716,1
47,1.943219,12.9194,1
83,1.638713,12.5439,2
11,0.764884,13.0644,1
119,1.354429,13.0645,1
56,0.357048,12.9054,1
101,0.006638,13.4291,1
110,0.000379,12.7632,1
65,0.008201,13.3245,1
3,1.790015,12.812,1
129,0.124338,13.1032,1
93,3.181771,13.1166,1
30,0.002415,13.0714,1
39,0.04182,12.7634,1
21,0.047517,12.9279,1
75,0.051491,12.3994,1
48,0.000144,12.08,1
12,0.189669,12.2247,1
84,3.78748,12.9485,1
120,0.016145,12.9192,1
57,0.238035,12.6411,1
102,0.126845,12.3747,1
111,0.116625,11.8878,1
66,0.001161,13.0138,2
130,0.076659,12.5751,1
94,1.436928,12.6371,1
4,1.880098,12.4546,1
31,0.646984,12.2401,1
22,0.555016,13.2379,1
76,0.242339,12.8883,1
40,0.188375,12.7411,1
13,1.312699,12.6474,1
49,2.874297,12.5203,1
85,0.003672,12.5846,1
121,0.00095,12.8896,2
58,0.10879,13.0344,1
103,2.634223,12.2014,1
112,3.918104,12.7528,1
67,0.016133,12.5633,1
131,2.705198,12.9943,1
95,0.018137,12.6785,1
5,4.587449,12.6294,1
14,0.017176,13.0476,1
32,3.768114,12.9401,1
23,3.40603,12.5287,1
50,2.606406,12.0781,1
77,0.591473,12.8747,1
41,4.256007,12.189,1
86,2.615865,12.5189,1
122,0.105044,12.4702,1
59,0.847071,12.0769,2
104,0.055898,12.6878,1
113,0.091255,12.4302,1
68,0.947193,12.0494,1
132,1.101671,12.373,1
96,0.149928,12.6308,1
6,0.081747,12.5413,1
33,0.000445,12.838,1
15,0.012121,12.2253,1
24,0.000237,12.4664,2
51,0.055151,13.1719,1
42,0.014701,12.6377,1
87,1.102695,12.1502,2
78,0.001517,12.2092,1
123,3.861969,12.4488,1
60,0.066739,12.4196,1
105,1.214052,12.6407,1
114,0.001151,12.1802,1
69,0.241936,13.1452,1
133,0.008165,12.6518,1
97,0.02077,12.334,1
7,0.001128,11.8226,1
16,0.000138,12.5212,1
34,0.011516,12.5836,1
52,0.354895,12.1999,1
25,1.767197,12.2897,1
88,1.78983,12.3678,1
43,0.006963,12.7748,1
79,2.79169,12.1018,1
124,0.000345,12.6119,1
61,0.001951,12.6362,1
115,1.699582,12.0964,1
106,1.799001,12.5246,1
70,0.067057,12.0369,1
134,0.110429,11.6573,1
98,1.569519,12.0878,1
8,0.000043,12.495,1
35,0.908079,12.6774,1
17,0.079573,12.2285,3
26,0.016588,12.5246,1
53,0.048319,12.4075,1
44,0.000979,12.6724,1
89,0.242683,12.238,1
125,0.000019,12.515,1
80,3.38053,12.4088,1
62,0.000063,12.6249,1
116,1.912357,12.4942,1
107,1.258612,12.8245,1
71,0.007504,12.4344,2
135,0.023491,12.6787,1
9,0.760422,12.8133,1
99,0.000927,12.4333,1
18,3.376956,12.2568,1
36,2.935307,12.0165,1
54,0.226985,12.3868,1
27,0.335466,12.2479,1
90,0.699607,12.4775,1
45,0.013798,12.0844,1
126,0.721954,12.5751,1
81,0.001049,12.2603,2
63,0.001166,12.4345,1
