Номер вектора,Вектор,a_max
1,"[8463627, 14768904, 14564914, 16464783, 13692797, 3252605, 16195238, 6254276, 13734227, 6585852, 11168981, 3359145, 10980749, 3063357, 8146828, 9061202, 14979038, 2271294, 13701126, 15345126, 4438422, 1094952, 15602373, 14098497]",16777216
2,"[13970460, 16303727, 3655418, 13663284, 13163438, 7064985, 9130479, 15573274, 3597730, 5535317, 10587211, 8568610, 4845506, 8129928, 8353700, 4958740, 8270658, 2480838, 6391025, 11122208, 589548, 5211050, 2495460, 14968869]",16777216
3,"[2167409, 9029092, 9979974, 9693135, 8974404, 14561418, 11771867, 8513631, 16573684, 5382385, 12470268, 95674, 6943809, 7394146, 361153, 4934079, 2209502, 8462586, 10242698, 1341284, 2799760, 10238680, 261155, 1576798]",16777216
4,"[430324, 47431, 13575122, 11955889, 13178764, 6942292, 8672956, 5385879, 11225914, 2187971, 1350185, 7306802, 15296364, 7365868, 5912949, 12532960, 607593, 11544815, 5027748, 7638727, 14459438, 1841344, 11034128, 2874865]",16777216
5,"[3817614, 6889603, 8742857, 8630327, 3280370, 13363210, 12442567, 13753357, 12654836, 13989211, 5105864, 2355675, 15687815, 177917, 13584202, 3968321, 12617973, 10417952, 262215, 2692571, 2421043, 12059006, 8629517, 14760282]",16777216
6,"[11659247, 12821674, 16669858, 13283392, 1258691, 2872926, 11499190, 15309952, 16648105, 13344370, 6205473, 11143720, 12099762, 3296524, 2474153, 3514061, 4948188, 2887574, 1434668, 13629921, 8756356, 13123360, 14895035, 3379844]",16777216
7,"[1716671, 5297576, 2155884, 15533620, 14873814, 12044597, 14223637, 1499220, 1624777, 14543904, 989226, 12717574, 15586411, 2405842, 15634573, 4333854, 9545819, 10785625, 8439171, 11685065, 4461686, 2657961, 3507763, 9586854]",16777216
8,"[11211257, 5819610, 11022544, 15145738, 1585676, 6136986, 14956827, 14027008, 5523289, 5369316, 790320, 3037637, 4323902, 765609, 16428127, 7580741, 8676274, 6302216, 15505188, 16413339, 7607408, 6387271, 6349343, 11301686]",16777216
9,"[6665097, 3898946, 5834844, 9469865, 9042590, 12510982, 244429, 13207958, 10925387, 1200887, 11163712, 1666156, 3941035, 13809198, 11052755, 1062958, 7668280, 12030374, 5954924, 13939841, 12010537, 14337222, 4739707, 8014584]",16777216
10,"[9582690, 7897900, 13569159, 6355505, 10171972, 16048633, 2803586, 14523769, 4459334, 14224116, 16316645, 440965, 11708113, 11367952, 1856018, 4998403, 14831068, 2129654, 14378512, 2776456, 4717647, 12443744, 9387079, 14482327]",16777216
11,"[2571424, 16085729, 7488563, 14983774, 6264962, 10457537, 7146697, 14897173, 9050484, 10830140, 5430792, 5119176, 11555195, 8331871, 211379, 1101390, 9587949, 4125213, 13148229, 5811909, 3229476, 5891229, 11548834, 11758441]",16777216
12,"[6723908, 7285440, 2680112, 1966864, 4533399, 4384118, 15374014, 2045306, 10934920, 7955820, 12755737, 4528784, 6202460, 968467, 2345489, 7716878, 9353331, 10812778, 7931677, 15251560, 7892721, 12659299, 15159129, 4607596]",16777216
