Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
1,0.841535,278239,Нет улучшений на последних двух итерациях,535
64,0.787373,3646616,Нет улучшений на последних двух итерациях,552
100,0.827830,245483996,Нет улучшений на последних двух итерациях,569
28,0.864630,8618198,Нет улучшений на последних двух итерациях,576
46,0.863780,4010136,Нет улучшений на последних двух итерациях,589
55,0.933174,4975979,Нет улучшений на последних двух итерациях,625
109,0.978789,52526068,Нет улучшений на последних двух итерациях,637
19,1.045494,6091201,Нет улучшений на последних двух итерациях,660
82,1.031395,815046,Нет улучшений на последних двух итерациях,680
10,1.199540,1672957,Нет улучшений на последних двух итерациях,818
91,1.220064,9270801,Нет улучшений на последних двух итерациях,812
37,1.293172,247309,Нет улучшений на последних двух итерациях,856
127,1.245436,2379632,Нет улучшений на последних двух итерациях,823
73,1.448558,1335892,Нет улучшений на последних двух итерациях,937
118,1.460801,18809695,Достигнуто максимальное число поколений,1000
92,0.300211,0,Найдено точное решение,188
2,0.778100,5310608,Нет улучшений на последних двух итерациях,523
65,0.807596,5084563,Нет улучшений на последних двух итерациях,503
47,0.799928,58299179,Нет улучшений на последних двух итерациях,528
56,0.862779,8629819,Нет улучшений на последних двух итерациях,512
29,0.985960,9336892,Нет улучшений на последних двух итерациях,636
83,0.929378,6552474,Нет улучшений на последних двух итерациях,601
110,1.106006,9357634,Нет улучшений на последних двух итерациях,644
101,1.442104,3431514,Нет улучшений на последних двух итерациях,827
128,1.028102,673059,Нет улучшений на последних двух итерациях,567
119,1.091912,2085249,Нет улучшений на последних двух итерациях,508
11,1.451468,5210213,Нет улучшений на последних двух итерациях,748
93,1.372398,2692024,Нет улучшений на последних двух итерациях,556
74,1.486519,3016989,Нет улучшений на последних двух итерациях,650
38,1.699250,5516587,Нет улучшений на последних двух итерациях,777
66,1.473294,607228,Нет улучшений на последних двух итерациях,618
20,2.102836,14675979,Достигнуто максимальное число поколений,1000
30,1.314566,310465316,Нет улучшений на последних двух итерациях,519
3,1.600202,2681247,Нет улучшений на последних двух итерациях,706
102,1.165561,732941,Нет улучшений на последних двух итерациях,503
111,1.492127,3778013,Нет улучшений на последних двух итерациях,660
120,1.028413,10468404,Нет улучшений на последних двух итерациях,540
48,2.093364,10494022,Достигнуто максимальное число поколений,1000
39,0.804610,135065497,Нет улучшений на последних двух итерациях,521
12,1.264301,5812141,Нет улучшений на последних двух итерациях,693
57,2.089507,11309816,Достигнуто максимальное число поколений,1000
67,0.825965,6783023,Нет улучшений на последних двух итерациях,590
84,1.966469,59673538,Достигнуто максимальное число поколений,1000
94,1.130124,6520096,Нет улучшений на последних двух итерациях,671
4,0.878945,5555264,Нет улучшений на последних двух итерациях,583
31,0.941420,151166,Нет улучшений на последних двух итерациях,613
75,1.254670,1829474,Нет улучшений на последних двух итерациях,778
21,1.090847,165611,Нет улучшений на последних двух итерациях,696
129,1.937529,1998486,Нет улучшений на последних двух итерациях,952
103,0.976350,9923961,Нет улучшений на последних двух итерациях,635
112,0.882553,9282795,Нет улучшений на последних двух итерациях,547
121,1.019904,7638781,Нет улучшений на последних двух итерациях,647
40,0.876519,988190,Нет улучшений на последних двух итерациях,573
85,0.827158,8530942,Нет улучшений на последних двух итерациях,525
68,0.873466,808934,Нет улучшений на последних двух итерациях,561
49,1.015344,966560,Нет улучшений на последних двух итерациях,645
5,0.951292,297692,Нет улучшений на последних двух итерациях,612
58,1.186753,6516,Нет улучшений на последних двух итерациях,736
41,0.425746,0,Найдено точное решение,250
13,1.250315,3969204,Нет улучшений на последних двух итерациях,773
22,0.954711,368805,Нет улучшений на последних двух итерациях,607
32,1.130017,0,Найдено точное решение,730
76,1.157858,35827583,Нет улучшений на последних двух итерациях,714
122,0.812013,9930768,Нет улучшений на последних двух итерациях,553
23,0.274256,0,Найдено точное решение,182
95,1.449268,35200461,Нет улучшений на последних двух итерациях,874
50,0.807072,1112144,Нет улучшений на последних двух итерациях,524
130,1.320748,5522470,Нет улучшений на последних двух итерациях,803
104,1.183867,3114475,Нет улучшений на последних двух итерациях,742
59,0.600443,0,Найдено точное решение,368
86,1.098131,1619960,Нет улучшений на последних двух итерациях,730
69,1.227091,19055581,Нет улучшений на последних двух итерациях,803
6,1.021307,2876286,Нет улучшений на последних двух итерациях,667
113,1.577064,2351755,Нет улучшений на последних двух итерациях,996
42,1.046069,22975358,Нет улучшений на последних двух итерациях,685
33,0.912580,4153594,Нет улучшений на последних двух итерациях,555
77,0.945985,2499378,Нет улучшений на последних двух итерациях,594
24,0.846415,330242,Нет улучшений на последних двух итерациях,571
123,0.873443,14254382,Нет улучшений на последних двух итерациях,585
14,1.257164,2198005,Нет улучшений на последних двух итерациях,827
105,0.869706,21977767,Нет улучшений на последних двух итерациях,577
96,1.147092,2650767,Нет улучшений на последних двух итерациях,716
131,1.058065,184599,Нет улучшений на последних двух итерациях,712
87,0.772197,334387967,Нет улучшений на последних двух итерациях,534
15,0.370057,0,Найдено точное решение,232
70,0.923565,5336990,Нет улучшений на последних двух итерациях,598
43,0.788038,4151556,Нет улучшений на последних двух итерациях,528
114,0.945317,7544140,Нет улучшений на последних двух итерациях,635
124,0.788918,0,Найдено точное решение,527
78,0.850489,1332509,Нет улучшений на последних двух итерациях,587
51,1.583334,1737364,Достигнуто максимальное число поколений,1000
60,1.491414,9662961,Нет улучшений на последних двух итерациях,995
106,0.760971,1223260,Нет улучшений на последних двух итерациях,516
34,1.127087,1300011,Нет улучшений на последних двух итерациях,727
7,1.264097,25034,Нет улучшений на последних двух итерациях,820
97,0.698825,0,Найдено точное решение,449
125,0.256260,0,Найдено точное решение,177
25,1.109731,1524598,Нет улучшений на последних двух итерациях,703
88,0.805755,3648299,Нет улучшений на последних двух итерациях,530
132,0.854151,1979178,Нет улучшений на последних двух итерациях,555
71,0.770112,65834525,Нет улучшений на последних двух итерациях,520
44,0.795907,635558,Нет улучшений на последних двух итерациях,543
61,0.738896,15384752,Нет улучшений на последних двух итерациях,501
16,1.220458,759460,Нет улучшений на последних двух итерациях,815
8,0.782714,6821631,Нет улучшений на последних двух итерациях,534
115,1.184404,14819272,Нет улучшений на последних двух итерациях,788
98,0.890025,0,Найдено точное решение,597
79,1.230437,6883878,Нет улучшений на последних двух итерациях,840
126,1.009228,351185,Нет улучшений на последних двух итерациях,680
26,1.050826,22633024,Нет улучшений на последних двух итерациях,678
52,1.319252,5958404,Нет улучшений на последних двух итерациях,881
133,1.002453,5590692,Нет улучшений на последних двух итерациях,658
107,1.369087,2146562,Нет улучшений на последних двух итерациях,899
35,1.505480,9827269,Достигнуто максимальное число поколений,1000
72,1.147759,6330735,Нет улучшений на последних двух итерациях,739
9,0.838261,2691773,Нет улучшений на последних двух итерациях,536
89,1.506885,25480136,Достигнуто максимальное число поколений,1000
45,1.266240,12270346,Нет улучшений на последних двух итерациях,832
99,0.869204,2786589,Нет улучшений на последних двух итерациях,562
17,1.117944,1916154,Нет улучшений на последних двух итерациях,723
116,0.949938,1846021,Нет улучшений на последних двух итерациях,592
27,0.770258,2368900,Нет улучшений на последних двух итерациях,504
134,0.790511,1286685,Нет улучшений на последних двух итерациях,500
80,1.006156,11206784,Нет улучшений на последних двух итерациях,676
53,0.931842,3123494,Нет улучшений на последних двух итерациях,606
62,1.532402,5666818,Нет улучшений на последних двух итерациях,989
145,0.777938,1293160,Нет улучшений на последних двух итерациях,540
108,1.077963,22830267,Нет улучшений на последних двух итерациях,715
90,0.744442,2085811,Нет улучшений на последних двух итерациях,508
136,1.496259,4061156,Достигнуто максимальное число поколений,1000
117,0.790564,1672061,Нет улучшений на последних двух итерациях,505
135,0.696641,16072967,Нет улучшений на последних двух итерациях,503
154,1.143258,11620023,Нет улучшений на последних двух итерациях,743
36,1.530953,3222664,Нет улучшений на последних двух итерациях,927
181,1.063106,1343443,Нет улучшений на последних двух итерациях,608
81,0.974137,145730,Нет улучшений на последних двух итерациях,599
63,0.981609,732395,Нет улучшений на последних двух итерациях,589
18,1.405635,15710845,Нет улучшений на последних двух итерациях,890
163,1.518140,6953102,Достигнуто максимальное число поколений,1000
199,0.823510,14069376,Нет улучшений на последних двух итерациях,504
146,0.905565,184047,Нет улучшений на последних двух итерациях,574
172,1.654636,17863881,Достигнуто максимальное число поколений,1000
137,0.952211,7069282,Нет улучшений на последних двух итерациях,545
190,1.149212,11536877,Нет улучшений на последних двух итерациях,677
191,0.029816,0,Найдено точное решение,37
217,0.948448,243842966,Нет улучшений на последних двух итерациях,566
54,1.619681,4237079,Достигнуто максимальное число поколений,1000
208,1.114747,68542950,Нет улучшений на последних двух итерациях,673
244,0.742057,21437025,Нет улучшений на последних двух итерациях,500
138,0.380090,0,Найдено точное решение,258
226,1.069681,5354552,Нет улучшений на последних двух итерациях,616
147,0.921902,10004224,Нет улучшений на последних двух итерациях,515
164,0.978285,113438671,Нет улучшений на последних двух итерациях,542
253,1.255827,166275,Нет улучшений на последних двух итерациях,593
200,1.442857,8807255,Нет улучшений на последних двух итерациях,666
155,1.991765,1861811,Нет улучшений на последних двух итерациях,994
182,1.738980,9840794,Нет улучшений на последних двух итерациях,834
173,1.338574,0,Найдено точное решение,563
218,1.268787,2820448,Нет улучшений на последних двух итерациях,559
235,2.010893,8787262,Достигнуто максимальное число поколений,1000
192,1.521679,1695722,Нет улучшений на последних двух итерациях,675
245,1.247893,8186358,Нет улучшений на последних двух итерациях,521
209,1.398021,10233461,Нет улучшений на последних двух итерациях,606
262,1.424956,638874,Нет улучшений на последних двух итерациях,633
139,1.379461,2069084,Нет улучшений на последних двух итерациях,638
165,1.107559,8283608,Нет улучшений на последних двух итерациях,529
148,1.358872,1027541,Нет улучшений на последних двух итерациях,670
227,1.437049,1375180,Нет улучшений на последних двух итерациях,664
183,0.834364,0,Найдено точное решение,485
156,0.937610,3266759,Нет улучшений на последних двух итерациях,532
201,1.166521,24145643,Нет улучшений на последних двух итерациях,644
174,1.137021,11180798,Нет улучшений на последних двух итерациях,646
254,1.527261,6629679,Нет улучшений на последних двух итерациях,830
202,0.160638,0,Найдено точное решение,102
219,1.129894,155898931,Нет улучшений на последних двух итерациях,659
149,0.842247,3357060,Нет улучшений на последних двух итерациях,509
263,1.272983,1609314,Нет улучшений на последних двух итерациях,717
228,1.005920,2106790,Нет улучшений на последних двух итерациях,601
157,0.899729,6416730,Нет улучшений на последних двух итерациях,515
140,1.360268,6693443,Нет улучшений на последних двух итерациях,745
193,1.594900,1255466,Нет улучшений на последних двух итерациях,934
246,1.615408,1540020,Нет улучшений на последних двух итерациях,941
236,1.700984,14659790,Достигнуто максимальное число поколений,1000
184,1.199564,4532123,Нет улучшений на последних двух итерациях,725
166,1.525749,9056021,Нет улучшений на последних двух итерациях,889
175,0.919752,4918287,Нет улучшений на последних двух итерациях,525
210,1.720511,30673831,Достигнуто максимальное число поколений,1000
203,0.957953,2892808,Нет улучшений на последних двух итерациях,551
220,0.948323,9795989,Нет улучшений на последних двух итерациях,557
255,1.268219,8789277,Нет улучшений на последних двух итерациях,755
264,0.897403,13153694,Нет улучшений на последних двух итерациях,524
150,1.153324,1368319,Нет улучшений на последних двух итерациях,648
158,0.984104,19391191,Нет улучшений на последних двух итерациях,569
237,0.864817,878382,Нет улучшений на последних двух итерациях,528
141,1.043977,18048000,Нет улучшений на последних двух итерациях,589
176,1.051227,6347893,Нет улучшений на последних двух итерациях,561
247,1.237723,5028966,Нет улучшений на последних двух итерациях,693
229,1.466950,364653,Нет улучшений на последних двух итерациях,804
194,1.316974,4589057,Нет улучшений на последних двух итерациях,689
221,1.118100,13418360,Нет улучшений на последних двух итерациях,591
256,0.924614,1847362,Нет улучшений на последних двух итерациях,519
211,1.305847,1604019,Нет улучшений на последних двух итерациях,708
265,0.901961,8704659,Нет улучшений на последних двух итерациях,527
