Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,7211707740,0.42
2,1,2794482034,0.25
3,1,2140134407,0.29
4,1,3408666591,0.17
5,1,3551600263,0.25
6,1,5530547967,0.38
7,1,5608875152,0.46
8,1,3135219154,0.38
9,1,4570238598,0.42
10,1,5074106931,0.29
11,2,3641263464,0.38
12,2,3096762805,0.38
13,2,3906757217,0.33
14,2,5415941309,0.42
15,2,1141840855,0.08
16,2,2432481134,0.33
17,2,4610293387,0.46
18,2,3361855816,0.38
19,2,1774534870,0.17
20,2,3920125430,0.33
21,3,3431187903,0.25
22,3,2452339447,0.17
23,3,1378387948,0.12
24,3,3897558563,0.21
25,3,4739908197,0.38
26,3,5104960567,0.38
27,3,3038940309,0.21
28,3,4065514829,0.42
29,3,2625064918,0.17
30,3,1069251565,0.08
31,4,2929312859,0.21
32,4,841589892,0.08
33,4,4200433018,0.25
34,4,4866050966,0.50
35,4,4992736696,0.50
36,4,2689806450,0.21
37,4,2677893350,0.17
38,4,4435772889,0.46
39,4,1148110466,0.08
40,4,4743002530,0.38
41,5,1230369599,0.21
42,5,1225976104,0.08
43,5,2490578690,0.29
44,5,4229793677,0.29
45,5,2877393937,0.29
46,5,3243512871,0.38
47,5,1307789675,0.08
48,5,3643481822,0.33
49,5,4534002177,0.50
50,5,3124061996,0.38
51,6,6486300135,0.46
52,6,3083294900,0.21
53,6,2680918267,0.17
54,6,2821298454,0.17
55,6,6823430737,0.50
56,6,5011035992,0.38
57,6,3064583793,0.21
58,6,4131774074,0.29
59,6,2441350288,0.17
60,6,4001290704,0.29
61,7,2074228981,0.21
62,7,6834453434,0.50
63,7,5731356770,0.42
64,7,5499428430,0.33
65,7,6469017784,0.50
66,7,4181000012,0.38
67,7,2649711097,0.12
68,7,3485471688,0.25
69,7,3100232555,0.33
70,7,4773533194,0.29
71,8,1555834256,0.12
72,8,4710355644,0.38
73,8,5764305195,0.42
74,8,4918349854,0.33
75,8,4603406749,0.38
76,8,1855478013,0.12
77,8,7201993697,0.50
78,8,6065790386,0.50
79,8,2893815857,0.25
80,8,2255706446,0.12
81,9,4339490128,0.38
82,9,1015394306,0.08
83,9,3069395095,0.25
84,9,3233423497,0.25
85,9,5269734459,0.46
86,9,5013791972,0.42
87,9,696426559,0.08
88,9,4338262902,0.29
89,9,3521843962,0.21
90,9,2859620447,0.38
91,10,3349117896,0.21
92,10,5817053409,0.46
93,10,4619744358,0.29
94,10,6648023138,0.46
95,10,1711133466,0.12
96,10,5847202542,0.38
97,10,1025785083,0.08
98,10,1470353396,0.12
99,10,3730898916,0.25
100,10,1641245740,0.08
101,11,4432395121,0.42
102,11,4476211048,0.38
103,11,3316136379,0.25
104,11,6733585944,0.50
105,11,1976807957,0.17
106,11,5403906823,0.46
107,11,5045073702,0.50
108,11,933800119,0.17
109,11,1946883776,0.12
110,11,1258412038,0.21
111,12,1280310163,0.08
112,12,5543432537,0.50
113,12,3370596560,0.29
114,12,1914759262,0.17
115,12,3766891353,0.42
116,12,4273050130,0.33
117,12,3559576256,0.25
118,12,1797123547,0.12
119,12,4739772880,0.38
120,12,2526759406,0.25
121,13,3948858851,0.33
122,13,5187436833,0.46
123,13,1951685616,0.25
124,13,1786765102,0.08
125,13,1449949058,0.17
126,13,4183498093,0.42
127,13,1207484499,0.21
128,13,6124785043,0.46
129,13,3119793358,0.21
130,13,5545463681,0.42
131,14,5718434440,0.38
132,14,9046995162,0.50
133,14,3277628394,0.17
134,14,6400436162,0.42
135,14,2347042645,0.12
136,14,4767382378,0.29
137,14,6296230894,0.42
138,14,1653457608,0.08
139,14,4320817585,0.25
140,14,4732633778,0.33
141,15,2936228482,0.38
142,15,3005245861,0.21
143,15,3391524547,0.21
144,15,2073004005,0.12
145,15,3940876712,0.38
146,15,1798531890,0.12
147,15,1933360953,0.12
148,15,1601328744,0.17
149,15,2823603558,0.29
