Номер вектора,Вектор,a_max
1,"[363511653, 559661014, 13652001, 526366525, 634297422, 496811611, 333592047, 973413422, 984286321, 1046483789, 905985479, 116923511, 515871303, 239220661, 433745982, 1025257727, 1020516245, 910451834, 331294264, 120861914, 439862478, 30528902, 718141482, 192998696]",1073741824
2,"[14862273, 375420693, 148742631, 251506517, 574727479, 279624541, 820420414, 748973082, 23627847, 224779731, 603630281, 970631087, 336377386, 433960391, 752937923, 284356039, 292039624, 741327779, 204651665, 171209768, 165745253, 714050471, 820489969, 786082290]",1073741824
3,"[229772573, 530327377, 82873818, 718185285, 1023025386, 343629364, 652535252, 403895879, 1033223962, 177269963, 502395763, 642978878, 988472652, 449371922, 434286179, 687037445, 803911082, 205909739, 259424265, 276335139, 891981602, 463217267, 385357147, 858676723]",1073741824
4,"[611907972, 379088633, 298260885, 283018884, 215529649, 874944997, 605998936, 675489818, 536202494, 17904644, 260974568, 345707459, 898688532, 1426809, 492038691, 141549184, 1055596393, 230501976, 593362872, 92549919, 700022269, 316316695, 543058826, 248227020]",1073741824
5,"[181589486, 48008558, 432086321, 393514194, 914275481, 85215783, 197023109, 24843450, 96502104, 240124616, 293788456, 976145704, 469829275, 847694887, 57630016, 229539072, 322280658, 831476415, 985851488, 324454230, 1020007439, 42091174, 435786965, 355962789]",1073741824
6,"[221079255, 635073550, 473310499, 443863644, 524922071, 576425710, 836939900, 937245621, 836216738, 441698503, 594996115, 786682374, 26309659, 851510493, 806040486, 878508091, 657944403, 585382321, 332772532, 28598093, 652265435, 820572220, 638157703, 988654583]",1073741824
7,"[1029730343, 212928602, 413853762, 442918399, 769272673, 297497765, 446490432, 514882669, 228466273, 902660250, 597666179, 535865691, 902243347, 515347080, 526070134, 837501603, 354157181, 497052172, 79643776, 508869479, 750767487, 951225841, 142843565, 996700263]",1073741824
8,"[798908040, 570518656, 320669506, 1014340825, 701139585, 455394847, 633921796, 161491805, 205874089, 604860341, 861794075, 120173086, 715387055, 319315571, 377242812, 468099331, 228717760, 132436767, 894875557, 245215401, 1035491532, 679001143, 528521932, 615690789]",1073741824
9,"[533593973, 1018001874, 263708173, 699985992, 851659904, 94972487, 112054914, 1034232171, 414492130, 1049954870, 214626226, 906679769, 381996105, 719221455, 310262630, 481800333, 333544825, 388541993, 718805193, 344763153, 615285212, 75750170, 285970085, 518281285]",1073741824
10,"[918871313, 476608607, 549176476, 122788695, 709004718, 1023218097, 497538503, 932241022, 612073054, 830114501, 946439107, 952571096, 867510785, 592272009, 113939986, 436159664, 361558168, 574766881, 496951861, 474733530, 356102489, 338259639, 843456794, 246740122]",1073741824
11,"[203158135, 988200068, 704046052, 1050827352, 741835154, 348794516, 121802066, 65346863, 565956409, 1052281488, 337997193, 136235317, 343704543, 39423777, 729329802, 317339730, 44160970, 1036675591, 1017264618, 1053713140, 99338712, 248106533, 1044963681, 549466093]",1073741824
12,"[42148837, 477070839, 146480163, 870631009, 947405979, 892002367, 315520082, 445768218, 332904184, 66203249, 509668435, 548089247, 311656421, 90147404, 969952361, 50696126, 32715914, 824285666, 375182629, 199483767, 931080662, 111016336, 919071676, 783514319]",1073741824
13,"[610173148, 867369772, 564599566, 635413410, 887843912, 549970196, 744500334, 468098048, 520518075, 30865853, 584912980, 64306661, 156047934, 99275480, 199294809, 594513539, 262313056, 142450523, 392907637, 30332624, 998621005, 1024053861, 125248463, 762711241]",1073741824
