Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
91,0.313125,13.182,1
55,0.337018,12.5815,1
19,0.001906,12.9637,1
73,3.814264,12.9675,1
109,3.199106,13.1007,1
1,0.642642,12.755,1
37,0.001225,12.3656,1
92,0.065661,12.0797,1
20,4.269418,12.4346,1
74,0.00115,12.7494,1
56,0.120954,12.9093,1
2,2.41349,13.1623,1
38,4.411882,13.0513,1
110,0.027996,12.3173,1
93,0.017872,12.408,2
75,0.001092,12.1098,1
21,0.034643,12.2879,1
3,0.934379,12.3657,1
57,0.000138,12.7787,1
39,1.433584,12.6096,1
111,0.027348,12.0409,1
94,0.000137,12.3888,1
22,0.098912,12.2881,1
76,0.002334,12.5899,1
58,4.15293,12.1418,1
4,0.916073,12.6428,1
40,4.444996,12.8335,1
112,0.071391,12.2771,1
95,0.830422,12.6726,1
59,0.005972,12.6487,1
77,0.236706,12.747,1
23,0.57641,11.8282,1
5,2.069924,12.8114,1
41,3.344394,12.9386,1
113,0.015361,12.4491,1
96,0.428401,13.0997,1
60,0.056193,12.3571,1
78,0.004001,12.3881,1
24,0.067509,12.5183,1
42,0.010814,12.3641,1
6,0.130965,12.8134,1
114,0.000786,12.7826,1
97,1.228617,12.7477,1
61,0.004064,12.9418,1
79,1.595149,12.4222,1
25,0.067942,12.702,1
7,0.673851,12.4092,1
43,0.003309,12.3685,1
115,0.002183,12.8752,1
98,0.968704,12.8056,1
62,0.752361,12.3947,1
80,0.739045,11.7964,1
26,0.000178,12.7277,1
8,0.00272,13.2111,1
44,0.072416,13.1464,1
116,0.000484,12.757,1
99,0.050649,12.6153,1
63,0.000117,13.0065,1
81,1.926519,13.0428,1
45,0.278021,12.8211,1
27,4.473951,13.0869,1
9,0.001527,12.9569,1
117,0.010019,12.7087,1
100,4.65358,12.5777,1
64,0.08426,13.0482,1
82,0.824408,12.7695,1
28,4.704365,13.5796,1
46,0.021508,12.5817,1
10,0.341474,12.5628,1
118,0.001164,12.2043,1
101,0.864429,13.4599,1
65,0.155833,12.3274,1
83,0.010058,13.2572,1
29,5.213304,12.7484,1
11,0.622532,13.1549,1
47,0.015672,13.0064,1
119,0.000752,12.9654,2
102,1.381965,12.8989,1
66,1.246164,12.7104,1
84,1.008511,13.222,1
30,0.002888,13.4258,1
48,0.000427,12.8809,1
12,0.000267,13.458,1
120,0.000114,13.2001,1
103,0.045775,13.1459,1
67,0.013248,13.6934,1
31,0.009573,12.2545,1
85,0.045056,13.4299,1
49,0.012641,12.6442,1
13,0.260453,13.0212,1
121,0.004079,13.0086,1
104,0.00246,12.8499,1
68,0.000703,13.1392,1
32,0.022929,12.5297,1
86,0.234499,12.3744,1
50,0.018255,12.9124,1
14,0.000839,12.6613,1
122,3.356498,12.854,1
105,0.674551,12.5984,1
69,0.706621,13.1817,1
33,0.576183,13.4104,1
87,0.038056,13.2706,1
51,1.575201,12.4435,1
15,0.337389,11.8876,1
123,0.287061,13.8537,1
