Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,1266752709,0.12
2,1,5376710099,0.42
3,1,2546191651,0.17
4,1,3525773076,0.33
5,1,5280451570,0.46
6,1,2746864684,0.17
7,1,3857688346,0.29
8,1,4529616145,0.46
9,1,6817193006,0.50
10,1,5046637233,0.50
11,2,5074609302,0.46
12,2,4166230966,0.33
13,2,3007603978,0.29
14,2,1107087198,0.38
15,2,3329771400,0.33
16,2,3515934071,0.33
17,2,4011469031,0.33
18,2,1314370268,0.08
19,2,1839131184,0.17
20,2,769283446,0.08
21,3,1312501870,0.12
22,3,4777837292,0.42
23,3,1253291884,0.12
24,3,5935647086,0.50
25,3,3571183773,0.33
26,3,4689880177,0.38
27,3,1400176979,0.08
28,3,2795738224,0.25
29,3,3730025551,0.33
30,3,4413903120,0.33
31,4,3288389750,0.25
32,4,4349382685,0.29
33,4,2459290661,0.21
34,4,1620500292,0.12
35,4,1169340049,0.08
36,4,5474335478,0.42
37,4,4722603110,0.33
38,4,4005004892,0.33
39,4,1772768676,0.21
40,4,735412958,0.08
41,5,6502973633,0.46
42,5,2292151438,0.12
43,5,1276875060,0.17
44,5,5655870294,0.50
45,5,6297900230,0.50
46,5,4561714513,0.42
47,5,3409073277,0.25
48,5,1101442081,0.08
49,5,4548436529,0.46
50,5,1441956866,0.08
51,6,4943443465,0.38
52,6,5394445406,0.50
53,6,4744947313,0.42
54,6,5172952003,0.38
55,6,3782017163,0.42
56,6,4007324423,0.33
57,6,5211292296,0.46
58,6,3501805780,0.33
59,6,7723607500,0.50
60,6,971619535,0.17
61,7,4912816204,0.42
62,7,3697077719,0.42
63,7,3350705450,0.33
64,7,2400268663,0.25
65,7,641268467,0.08
66,7,1349334886,0.08
67,7,912704711,0.08
68,7,3903481096,0.33
69,7,4308403638,0.42
70,7,5229888806,0.46
71,8,1836758235,0.08
72,8,4640201018,0.29
73,8,4630507914,0.38
74,8,1636892387,0.12
75,8,5253478795,0.33
76,8,1803280347,0.21
77,8,5927234797,0.46
78,8,5740836688,0.46
79,8,4739940437,0.33
80,8,2666576327,0.21
81,9,3050433317,0.21
82,9,2014455483,0.17
83,9,920316344,0.08
84,9,4879958352,0.42
85,9,3027386194,0.17
86,9,1639768664,0.17
87,9,5603336260,0.50
88,9,3729035071,0.33
89,9,5736609977,0.50
90,9,5190053770,0.38
91,10,3180134042,0.33
92,10,952464499,0.08
93,10,5706915624,0.46
94,10,2360516598,0.12
95,10,3447130859,0.42
96,10,3048499651,0.38
97,10,3549370125,0.42
98,10,2689954665,0.21
99,10,4540011045,0.46
100,10,3071403445,0.25
101,11,5057330596,0.38
102,11,4801766097,0.38
103,11,5418965908,0.46
104,11,2792326825,0.25
105,11,4590300267,0.38
106,11,3235173540,0.33
