Номер вектора,Вектор,a_max
1,"[851497552, 516907915, 420692011, 289930514, 997335575, 200125759, 358482203, 298491046, 298912202, 321652757, 438602618, 99248813, 284366228, 152698496, 660733724, 1028426536, 995986599, 386041946, 182784602, 58525244, 786980581, 805778133, 432196044, 989852662]",1073741824
2,"[161317987, 211382029, 770596203, 939068, 356418629, 714793889, 766161737, 729984343, 932897623, 39299103, 837337506, 346650986, 69120375, 25673633, 850376650, 234432339, 957951639, 387379093, 20993280, 200680076, 221653729, 730454395, 221943094, 547388142]",1073741824
3,"[196338929, 1058600296, 357900845, 6829458, 199273944, 439476072, 677145093, 679086081, 249074337, 592848498, 754542842, 97936070, 637245773, 729943924, 129530094, 485122759, 647570297, 670233055, 535479719, 916685163, 37048223, 478930745, 796578793, 969844339]",1073741824
4,"[588619261, 914760537, 255017971, 208878500, 137611065, 835444497, 556495513, 480394987, 976590078, 83100347, 100975813, 703157476, 702003926, 236158500, 372342135, 288469596, 192749971, 360443935, 743462358, 338937587, 163515227, 1038558826, 195161129, 250122630]",1073741824
5,"[937745864, 574054873, 770645382, 146371829, 337013291, 974568195, 254345558, 139255841, 647343370, 191665485, 467388671, 72390938, 503085556, 174141411, 847096523, 8844645, 364717381, 526829677, 529584960, 848489025, 901470271, 670239873, 191391531, 975235175]",1073741824
6,"[147635392, 968220008, 768957391, 740751132, 859342374, 813276833, 183110255, 66780204, 461133034, 409455163, 284077061, 748060262, 1832638, 356790079, 326803869, 370033030, 167376803, 25734854, 1063499493, 820534273, 836115268, 824218801, 363085457, 71124245]",1073741824
7,"[300753002, 54366218, 38958665, 26768652, 959526661, 214252943, 353940258, 666446048, 858338493, 287328209, 301850770, 802983680, 1065904203, 3992652, 450069412, 847178623, 777956631, 504720515, 194514633, 320510779, 586286954, 345354490, 457991164, 546351206]",1073741824
8,"[315731469, 684358805, 903487474, 365732294, 91757543, 715879334, 523661916, 326208768, 1012086436, 315627078, 764357692, 558931364, 1052056988, 399170487, 960823338, 526046583, 649890637, 17525579, 393304183, 1072400543, 630891849, 244123979, 849387898, 493045531]",1073741824
9,"[95882184, 580252348, 1028051748, 805771129, 205144872, 202249905, 348647226, 1073642775, 532774354, 114545215, 4962898, 360828530, 400545014, 859541557, 683422416, 128714538, 423941308, 797183981, 831076069, 841321935, 904521504, 189394837, 430859778, 314309681]",1073741824
10,"[243594451, 63021429, 757592950, 256366347, 213893181, 278127902, 491575693, 202424393, 618540826, 838816080, 956170991, 403608465, 63332847, 470580821, 730047759, 733079318, 295351430, 423943049, 928587051, 34772379, 91021351, 475046634, 631003152, 674336597]",1073741824
