Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
91,0.180507,0,Найдено точное решение,112
109,0.247656,0,Найдено точное решение,120
10,0.449016,0,Найдено точное решение,225
11,0.140100,0,Найдено точное решение,94
55,0.950504,2891,Нет улучшений на последних двух итерациях,511
73,0.984964,717,Нет улучшений на последних двух итерациях,503
127,0.992728,18,Нет улучшений на последних двух итерациях,511
64,1.187698,387,Нет улучшений на последних двух итерациях,638
28,1.251459,2276,Нет улучшений на последних двух итерациях,658
1,1.346530,55,Нет улучшений на последних двух итерациях,668
19,1.387418,141,Нет улучшений на последних двух итерациях,742
82,1.425174,0,Найдено точное решение,760
37,1.534923,19,Нет улучшений на последних двух итерациях,815
12,1.287524,3123,Нет улучшений на последних двух итерациях,641
100,1.809485,409,Достигнуто максимальное число поколений,1000
118,1.799160,30,Нет улучшений на последних двух итерациях,960
46,1.857037,1609,Достигнуто максимальное число поколений,1000
110,1.629174,0,Найдено точное решение,830
56,1.034670,0,Найдено точное решение,539
13,0.187470,0,Найдено точное решение,113
92,1.871624,1745,Достигнуто максимальное число поколений,1000
14,0.065036,0,Найдено точное решение,33
74,1.109360,175,Нет улучшений на последних двух итерациях,572
29,1.007032,5539,Нет улучшений на последних двух итерациях,546
128,1.259084,59,Нет улучшений на последних двух итерациях,678
2,1.160823,0,Найдено точное решение,638
83,1.082674,3,Нет улучшений на последних двух итерациях,605
65,1.371292,950,Нет улучшений на последних двух итерациях,743
93,0.550310,0,Найдено точное решение,344
20,1.278886,188,Нет улучшений на последних двух итерациях,726
111,0.854599,942,Нет улучшений на последних двух итерациях,508
119,0.938054,832,Нет улучшений на последних двух итерациях,551
75,0.802787,11279,Нет улучшений на последних двух итерациях,504
47,1.141443,494,Нет улучшений на последних двух итерациях,721
38,1.633890,0,Найдено точное решение,919
15,1.188332,558,Нет улучшений на последних двух итерациях,726
30,1.028114,0,Найдено точное решение,625
101,1.446312,40,Нет улучшений на последних двух итерациях,894
129,1.020073,269,Нет улучшений на последних двух итерациях,626
84,0.825661,372,Нет улучшений на последних двух итерациях,504
57,1.441000,461,Нет улучшений на последних двух итерациях,842
3,1.164712,358,Нет улучшений на последних двух итерациях,710
120,0.871199,976,Нет улучшений на последних двух итерациях,505
66,1.142036,255,Нет улучшений на последних двух итерациях,648
112,0.995018,9135,Нет улучшений на последних двух итерациях,635
94,1.277200,545,Нет улучшений на последних двух итерациях,701
21,1.438032,612,Нет улучшений на последних двух итерациях,783
76,1.245809,1721,Нет улучшений на последних двух итерациях,709
48,1.159391,0,Найдено точное решение,642
31,0.974728,1450,Нет улучшений на последних двух итерациях,539
67,0.560504,0,Найдено точное решение,285
22,0.288001,0,Найдено точное решение,149
16,1.106939,5418,Нет улучшений на последних двух итерациях,586
130,1.113036,3136,Нет улучшений на последних двух итерациях,613
39,1.524806,1517,Нет улучшений на последних двух итерациях,795
113,0.942100,6984,Нет улучшений на последних двух итерациях,514
102,1.421219,727,Нет улучшений на последних двух итерациях,799
4,1.227464,2400,Нет улучшений на последних двух итерациях,657
95,0.927723,0,Найдено точное решение,489
58,1.465134,0,Найдено точное решение,808
5,0.299053,0,Найдено точное решение,163
121,1.494085,1266,Нет улучшений на последних двух итерациях,767
85,1.806653,925,Достигнуто максимальное число поколений,1000
77,1.079402,913,Нет улучшений на последних двух итерациях,640
49,1.244403,246,Нет улучшений на последних двух итерациях,713
68,1.338083,650,Нет улучшений на последних двух итерациях,752
103,0.919456,6738,Нет улучшений на последних двух итерациях,551
114,0.946598,669,Нет улучшений на последних двух итерациях,535
131,1.260045,689,Нет улучшений на последних двух итерациях,698
96,0.881860,0,Найдено точное решение,498
40,1.026501,7601,Нет улучшений на последних двух итерациях,585
78,0.483085,0,Найдено точное решение,271
86,0.594307,0,Найдено точное решение,331
17,1.412759,414,Нет улучшений на последних двух итерациях,788
32,1.555369,2031,Нет улучшений на последних двух итерациях,883
59,1.020426,694,Нет улучшений на последних двух итерациях,590
23,1.794138,2828,Достигнуто максимальное число поколений,1000
60,0.260067,0,Найдено точное решение,155
87,0.442705,0,Найдено точное решение,261
6,1.098732,312,Нет улучшений на последних двух итерациях,646
33,0.422557,0,Найдено точное решение,258
41,0.545893,0,Найдено точное решение,305
50,1.025734,2622,Нет улучшений на последних двух итерациях,592
69,0.919432,317,Нет улучшений на последних двух итерациях,502
61,0.391055,0,Найдено точное решение,239
51,0.222919,0,Найдено точное решение,149
97,1.023610,188,Нет улучшений на последних двух итерациях,599
115,1.095567,1083,Нет улучшений на последних двух итерациях,655
18,0.966063,451,Нет улучшений на последних двух итерациях,553
79,1.042276,8,Нет улучшений на последних двух итерациях,597
132,1.067302,1015,Нет улучшений на последних двух итерациях,623
104,1.244312,624,Нет улучшений на последних двух итерациях,702
122,1.752000,762,Достигнуто максимальное число поколений,1000
24,0.896282,1505,Нет улучшений на последних двух итерациях,537
7,0.857371,375,Нет улучшений на последних двух итерациях,506
88,1.030066,1225,Нет улучшений на последних двух итерациях,601
116,0.603073,0,Найдено точное решение,349
42,1.161437,328,Нет улучшений на последних двух итерациях,713
34,1.302443,547,Нет улучшений на последних двух итерациях,756
70,1.024150,135,Нет улучшений на последних двух итерациях,614
133,0.796293,0,Найдено точное решение,473
80,0.807111,0,Найдено точное решение,484
71,0.062462,0,Найдено точное решение,29
105,0.831294,3321,Нет улучшений на последних двух итерациях,501
52,1.087324,69,Нет улучшений на последних двух итерациях,635
43,0.367543,0,Найдено точное решение,217
134,0.270992,0,Найдено точное решение,183
62,1.263247,18636,Нет улучшений на последних двух итерациях,788
72,0.226531,0,Найдено точное решение,160
98,1.174172,110,Нет улучшений на последних двух итерациях,670
25,0.857180,489,Нет улучшений на последних двух итерациях,524
136,1.242072,62,Нет улучшений на последних двух итерациях,730
81,0.442546,0,Найдено точное решение,247
123,1.467299,3189,Нет улучшений на последних двух итерациях,846
53,0.639856,0,Найдено точное решение,405
8,1.341598,240,Нет улучшений на последних двух итерациях,799
106,0.841513,1411,Нет улучшений на последних двух итерациях,532
44,0.824588,576,Нет улучшений на последних двух итерациях,528
26,0.703351,0,Найдено точное решение,420
117,1.416087,274,Нет улучшений на последних двух итерациях,843
145,1.024513,400,Нет улучшений на последних двух итерациях,554
35,1.345399,596,Нет улучшений на последних двух итерациях,807
89,1.744932,2102,Достигнуто максимальное число поколений,1000
137,1.023159,988,Нет улучшений на последних двух итерациях,557
135,1.196273,1480,Нет улучшений на последних двух итерациях,664
154,1.096764,0,Найдено точное решение,614
54,0.992347,77,Нет улучшений на последних двух итерациях,516
99,1.511973,546,Нет улучшений на последних двух итерациях,861
9,1.036453,732,Нет улучшений на последних двух итерациях,595
63,1.630470,4567,Нет улучшений на последних двух итерациях,918
155,0.362069,0,Найдено точное решение,216
124,1.172827,6648,Нет улучшений на последних двух итерациях,654
45,0.967730,376,Нет улучшений на последних двух итерациях,534
27,0.977040,859,Нет улучшений на последних двух итерациях,567
90,0.922564,1961,Нет улучшений на последних двух итерациях,528
107,1.360432,1271,Нет улучшений на последних двух итерациях,780
138,0.882669,385,Нет улучшений на последних двух итерациях,520
146,1.096813,11034,Нет улучшений на последних двух итерациях,633
217,0.386165,0,Найдено точное решение,231
163,1.214237,155,Нет улучшений на последних двух итерациях,672
156,0.541114,0,Найдено точное решение,305
36,1.167280,17177,Нет улучшений на последних двух итерациях,713
125,1.015455,325,Нет улучшений на последних двух итерациях,603
199,1.103861,66,Нет улучшений на последних двух итерациях,661
172,1.632168,2125,Достигнуто максимальное число поколений,1000
181,1.301761,660,Нет улучшений на последних двух итерациях,751
226,1.217525,180,Нет улучшений на последних двух итерациях,720
164,0.850316,89,Нет улучшений на последних двух итерациях,501
157,0.861226,62,Нет улучшений на последних двух итерациях,527
147,0.985309,495,Нет улучшений на последних двух итерациях,590
218,1.018073,656,Нет улучшений на последних двух итерациях,607
190,1.655594,1108,Достигнуто максимальное число поколений,1000
219,0.115140,0,Найдено точное решение,74
235,1.255159,49,Нет улучшений на последних двух итерациях,729
208,1.683874,316,Достигнуто максимальное число поколений,1000
108,1.317002,437,Нет улучшений на последних двух итерациях,815
126,0.670985,0,Найдено точное решение,399
244,1.254431,281,Нет улучшений на последних двух итерациях,732
200,0.810671,671,Нет улучшений на последних двух итерациях,506
139,1.626964,363,Нет улучшений на последних двух итерациях,981
209,0.686968,0,Найдено точное решение,443
158,0.962179,41,Нет улучшений на последних двух итерациях,540
191,0.834813,636,Нет улучшений на последних двух итерациях,506
182,1.257745,6916,Нет улучшений на последних двух итерациях,735
148,1.078866,0,Найдено точное решение,626
227,1.238026,325,Нет улучшений на последних двух итерациях,760
220,0.973923,1166,Нет улучшений на последних двух итерациях,548
165,1.377076,28,Нет улучшений на последних двух итерациях,780
140,0.714203,0,Найдено точное решение,370
253,1.063250,6075,Нет улучшений на последних двух итерациях,616
173,1.717065,60,Достигнуто максимальное число поколений,1000
245,1.087097,11397,Нет улучшений на последних двух итерациях,611
262,1.166329,19,Нет улучшений на последних двух итерациях,644
149,0.374436,0,Найдено точное решение,198
254,0.251040,0,Найдено точное решение,148
201,1.371360,1429,Нет улучшений на последних двух итерациях,779
159,0.978307,1835,Нет улучшений на последних двух итерациях,528
210,1.015116,486,Нет улучшений на последних двух итерациях,509
255,0.394912,0,Найдено точное решение,190
236,1.790301,611,Достигнуто максимальное число поколений,1000
228,0.974226,2093,Нет улучшений на последних двух итерациях,529
192,1.144733,2232,Нет улучшений на последних двух итерациях,615
193,0.174287,0,Найдено точное решение,106
166,1.047025,27,Нет улучшений на последних двух итерациях,558
183,1.387974,866,Нет улучшений на последних двух итерациях,733
221,1.338553,3992,Нет улучшений на последних двух итерациях,720
263,1.175936,588,Нет улучшений на последних двух итерациях,628
202,0.899760,1054,Нет улучшений на последних двух итерациях,532
174,1.317175,342,Нет улучшений на последних двух итерациях,717
246,1.331230,302,Нет улучшений на последних двух итерациях,765
160,0.907904,649,Нет улучшений на последних двух итерациях,527
237,0.886589,1464,Нет улучшений на последних двух итерациях,516
211,1.085658,7347,Нет улучшений на последних двух итерациях,659
229,0.931052,341,Нет улучшений на последних двух итерациях,550
238,0.138846,0,Найдено точное решение,93
141,1.758094,1190,Достигнуто максимальное число поколений,1000
256,1.260163,2,Нет улучшений на последних двух итерациях,759
150,1.825445,554,Нет улучшений на последних двух итерациях,980
194,1.033740,7673,Нет улучшений на последних двух итерациях,628
222,0.908101,183,Нет улучшений на последних двух итерациях,535
151,0.421775,0,Найдено точное решение,247
212,0.729129,0,Найдено точное решение,449
161,0.988233,3362,Нет улучшений на последних двух итерациях,612
203,1.114448,800,Нет улучшений на последних двух итерациях,673
167,1.507323,69,Нет улучшений на последних двух итерациях,943
184,1.462578,427,Нет улучшений на последних двух итерациях,897
185,0.005794,0,Найдено точное решение,5
239,0.864017,368,Нет улучшений на последних двух итерациях,549
223,0.636541,0,Найдено точное решение,384
142,0.986461,397,Нет улучшений на последних двух итерациях,608
175,1.326580,4632,Нет улучшений на последних двух итерациях,798
