Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,276045,0.17
2,1,641460,0.38
3,1,725875,0.42
4,1,887748,0.42
5,1,246296,0.17
6,1,560003,0.29
7,1,584982,0.33
8,1,814308,0.38
9,1,335589,0.25
10,1,479664,0.25
11,2,295925,0.21
12,2,274879,0.12
13,2,158790,0.08
14,2,170342,0.12
15,2,789746,0.42
16,2,403636,0.25
17,2,854613,0.42
18,2,528244,0.25
19,2,529868,0.29
20,2,859729,0.42
21,3,719724,0.42
22,3,184685,0.08
23,3,984721,0.50
24,3,310483,0.17
25,3,376607,0.17
26,3,747808,0.50
27,3,472900,0.29
28,3,206293,0.12
29,3,279572,0.12
30,3,911915,0.50
31,4,337621,0.17
32,4,279255,0.21
33,4,203472,0.12
34,4,248216,0.12
35,4,388230,0.25
36,4,155452,0.12
37,4,736269,0.29
38,4,766399,0.46
39,4,527444,0.33
40,4,149656,0.17
41,5,549115,0.33
42,5,648080,0.38
43,5,459873,0.33
44,5,635469,0.42
45,5,573668,0.25
46,5,373696,0.17
47,5,592926,0.38
48,5,203736,0.12
49,5,873474,0.46
50,5,184809,0.17
51,6,661388,0.42
52,6,751937,0.42
53,6,406346,0.17
54,6,639288,0.38
55,6,288090,0.12
56,6,682157,0.46
57,6,436643,0.29
58,6,455736,0.29
59,6,262909,0.17
60,6,224842,0.08
61,7,803193,0.38
62,7,255110,0.17
63,7,505605,0.25
64,7,297000,0.12
65,7,719424,0.33
66,7,1033587,0.46
67,7,530652,0.25
68,7,1033908,0.46
69,7,388753,0.21
70,7,732172,0.42
71,8,268533,0.17
72,8,705212,0.42
73,8,835815,0.42
74,8,903270,0.50
75,8,164076,0.08
76,8,371996,0.29
77,8,724320,0.46
78,8,418154,0.21
79,8,843935,0.50
80,8,714843,0.42
81,9,171519,0.12
82,9,166262,0.12
83,9,900341,0.50
84,9,478403,0.33
85,9,658269,0.42
86,9,281186,0.21
87,9,323367,0.21
88,9,446777,0.25
89,9,829675,0.46
90,9,579718,0.33
91,10,94863,0.12
92,10,706002,0.46
93,10,148375,0.12
94,10,848083,0.42
95,10,217385,0.12
96,10,550805,0.33
97,10,1005069,0.46
98,10,796685,0.42
99,10,338809,0.21
100,10,178630,0.08
101,11,786966,0.42
102,11,546601,0.42
103,11,159502,0.08
104,11,655238,0.38
105,11,434312,0.33
106,11,539158,0.29
107,11,346372,0.25
108,11,316164,0.33
109,11,730315,0.46
110,11,727127,0.46
111,12,535634,0.38
112,12,220240,0.17
113,12,246364,0.17
114,12,885098,0.50
