Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
73,0.001121,12.7236,28
91,0.008638,12.8033,1
55,0.000089,12.5751,2
1,0.928809,12.2359,1
19,0.140831,13.3024,4
37,0.023366,13.1264,34
109,0.846337,12.6203,30
56,0.099314,13.2142,27
92,2.777082,13.6393,23
74,0.103879,13.321,34
2,0.400691,12.6639,11
38,1.127148,12.8496,32
20,2.435027,12.3493,26
110,0.000108,13.1615,38
39,0.105446,12.0848,16
93,0.159522,12.9735,1
75,2.418253,12.3325,1
57,0.276512,12.8022,7
21,0.024354,12.7305,26
3,0.127896,12.8752,24
111,0.029615,13.226,11
40,0.093912,11.7434,1
94,0.891067,12.7211,27
22,0.000268,12.4539,1
76,0.016157,12.3657,2
4,0.087969,12.7633,24
112,0.217009,12.7143,1
58,0.032258,12.7938,6
41,0.006724,12.5023,23
95,0.011535,12.3928,1
23,0.011831,12.6482,29
77,0.473138,12.8422,26
113,0.001188,12.4963,1
59,0.145751,12.5377,1
5,0.110126,12.8391,2
96,0.085016,13.1952,11
24,0.314302,12.7072,1
42,0.001375,12.9956,33
114,2.03485,12.5214,41
78,0.603792,12.4957,4
60,0.000308,13.067,2
6,2.934437,13.2268,8
97,1.678194,12.8291,38
115,0.020604,13.0029,1
43,0.2924,12.4503,4
25,0.000901,13.4355,2
61,0.000668,13.5774,25
79,0.006239,13.0461,33
7,0.143561,13.0319,7
98,0.014014,12.818,30
26,0.009068,12.8436,28
44,0.623233,12.7507,28
116,0.000087,13.34,3
62,2.892481,13.3178,1
80,0.231419,12.8389,27
8,0.187031,12.1672,32
99,0.001438,13.0868,1
27,0.00011,12.8324,4
45,0.622193,12.8659,19
117,0.152192,12.5121,34
81,0.058281,12.7057,1
63,0.173301,12.4793,2
9,0.50318,12.6894,1
28,0.008927,12.8917,1
100,0.147926,12.153,1
46,0.104331,12.7555,9
82,4.439838,12.3991,1
64,0.059992,13.0414,1
10,0.001111,12.9226,4
118,0.284334,12.9936,35
29,0.340549,13.4585,1
101,0.000919,12.0282,35
47,0.963638,12.3684,27
83,0.202186,12.6164,41
11,0.788446,12.3401,1
65,0.203552,12.6866,14
119,0.013636,13.6284,9
30,0.073986,12.2893,36
48,0.001549,13.2346,1
102,0.002408,12.3727,21
84,0.678037,12.148,6
12,0.027312,12.9608,1
120,0.210339,12.1381,12
66,0.121385,12.156,22
49,0.435882,12.2751,27
31,0.4688,12.8892,2
103,0.050391,12.7067,1
13,0.039024,13.0377,1
85,3.415125,12.3699,21
121,0.925086,12.1943,19
67,0.038767,12.1558,4
50,0.398728,12.9236,1
32,0.74468,12.542,1
14,2.250918,13.1497,1
104,0.001611,12.2757,32
86,0.592493,13.2682,2
122,0.000543,12.4496,1
68,0.283667,12.2229,27
51,0.12708,12.4354,27
33,0.0533,12.0522,1
105,0.00032,13.0509,5
15,0.028995,12.2874,27
123,0.301795,12.4848,35
87,0.001074,12.8536,2
69,0.004368,12.8997,1
52,0.00164,12.2951,24
34,0.140266,11.7823,1
16,0.236422,12.4126,3
106,0.019201,11.9417,15
88,0.061712,12.547,7
124,0.995225,12.2384,1
70,1.017613,12.6833,11
53,0.029234,12.6978,4
35,0.152675,12.3919,8
17,0.347033,12.5767,32
89,0.243941,12.1894,38
125,0.368061,12.4533,9
107,0.085189,12.5434,2
71,0.153483,12.4249,1
54,0.103346,13.0012,17
36,0.03148,12.6113,1
18,2.530575,12.7073,6
90,0.175189,12.9173,17
126,3.073713,12.5038,1
108,0.000482,12.9872,2
72,0.000411,12.3566,30
127,0.12771,11.8821,5
145,0.004165,12.5651,4
163,1.519203,12.0614,38
199,0.16676,12.2366,11
181,0.000082,13.0039,19
217,0.690768,13.0961,1
235,0.119076,11.8281,31
128,0.000275,12.6453,1
146,0.013115,12.6723,2
164,0.399844,13.0057,16
200,0.007083,12.6582,5
182,0.083534,12.4719,1
218,0.142966,12.4006,2
236,0.000874,12.4628,41
129,0.005222,11.8244,1
147,0.027633,12.5739,18
201,0.087082,12.6311,41
165,1.248734,12.515,2
183,0.000029,12.1305,1
219,0.019082,11.9374,2
237,0.145264,11.8404,40
130,0.002817,12.8394,1
148,0.000849,12.5911,21
202,0.016244,12.4739,8
220,0.002537,12.4492,4
184,0.505173,12.4593,12
166,0.00083,12.5051,9
238,0.003421,12.4669,1
131,0.221393,12.3385,4
149,0.068418,12.5915,20
203,0.305236,12.5831,28
221,1.854866,12.4069,2
185,0.001125,12.0625,1
167,0.468001,12.3937,31
239,0.378736,12.284,11
132,0.177045,13.1715,40
150,0.004506,12.9325,42
204,1.265281,12.0485,16
222,1.982911,12.678,21
186,0.094137,12.7415,9
168,0.052498,12.281,33
240,1.985734,12.2306,2
133,0.119114,12.3305,9
151,1.15109,12.5699,21
205,0.141787,12.1998,25
223,0.088964,12.73,22
187,0.98193,12.4707,15
169,1.279903,12.6162,2
241,0.037137,12.4207,1
152,0.009292,12.9097,8
134,0.856084,12.6164,1
206,0.441888,12.8319,29
188,0.078272,12.8184,9
224,0.027597,12.5243,4
170,0.001416,12.3269,33
242,0.000044,12.6808,14
153,0.340049,13.1756,1
135,0.75075,12.6086,20
207,0.237402,12.5508,18
189,0.001283,12.1225,19
225,0.000489,13.2223,2
171,0.086136,12.5621,9
243,0.100133,12.618,1
154,0.009079,12.3515,2
