Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
91,3.727285,13.2993,3
1,0.242136,13.0893,2
19,2.486611,14.0611,8
109,1.062577,12.3007,2
55,0.010901,13.7099,1
37,0.083155,12.904,3
73,0.852554,12.6005,1
2,0.103161,12.6019,1
92,0.00026,13.8643,1
20,0.00934,14.2262,1
56,0.024137,13.2597,1
38,0.010751,13.8522,6
110,0.029372,12.9315,1
74,0.003433,13.2302,5
3,0.238238,13.1369,4
93,0.00735,13.0076,2
57,0.12301,13.4551,2
39,0.027747,13.1069,5
111,0.064686,12.6341,4
21,0.002785,12.6403,8
75,2.203006,13.0699,2
4,0.361103,13.0545,3
94,0.050543,12.5499,4
58,0.001306,12.7793,3
112,0.145077,12.9208,2
40,0.000813,12.0469,7
22,0.095834,12.337,4
76,0.035826,12.5151,1
5,0.371104,12.708,4
95,0.308308,13.3746,1
59,1.20272,12.3366,3
113,0.015434,13.1928,5
41,0.002354,12.3067,1
23,0.001948,12.6497,2
77,1.189868,12.1796,1
96,0.09999,12.5077,2
114,0.005026,13.1262,1
60,0.000047,13.4315,3
42,0.000433,13.1515,4
6,1.897424,12.9454,1
78,0.000272,12.4969,1
24,0.079686,12.9754,6
7,0.171744,12.3533,1
115,1.022676,12.1126,1
79,0.000638,12.3908,3
97,0.629729,12.8561,4
43,0.416276,12.5548,1
25,0.917233,12.7857,1
61,0.053572,12.9148,1
8,4.00544,12.4048,1
116,0.001177,13.3959,1
80,0.000169,12.4785,1
44,0.807517,12.1953,1
98,0.000442,12.2232,1
26,0.000176,13.505,1
62,0.000091,12.7014,1
9,0.010649,12.2554,2
117,0.312955,13.438,3
81,0.003324,13.2503,2
45,0.592462,13.344,5
27,0.8039,13.3393,2
99,0.000707,13.4804,1
63,0.000024,13.5172,3
82,0.019464,13.4605,1
10,3.243173,13.4213,1
118,0.006304,13.4028,1
46,2.680342,13.3692,1
28,0.164376,13.1468,1
100,0.076946,13.3709,1
64,0.000758,12.7281,9
119,0.000727,12.0873,3
11,0.772927,12.2322,1
83,0.235479,13.4737,2
29,1.84573,12.5754,1
47,0.00007,12.9924,2
65,0.288924,12.2958,3
101,0.137728,13.3519,15
