Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
91,0.423562,0,Найдено точное решение,286
82,0.745566,15602,Нет улучшений на последних двух итерациях,504
37,0.771520,428,Нет улучшений на последних двух итерациях,513
28,0.812182,500,Нет улучшений на последних двух итерациях,549
100,0.789516,336260,Нет улучшений на последних двух итерациях,532
109,0.806450,904,Нет улучшений на последних двух итерациях,532
127,0.836974,22050,Нет улучшений на последних двух итерациях,573
110,0.247236,0,Найдено точное решение,166
83,0.376983,0,Найдено точное решение,253
10,1.185883,37730,Нет улучшений на последних двух итерациях,792
1,1.222841,902,Нет улучшений на последних двух итерациях,854
19,1.194383,5377,Нет улучшений на последних двух итерациях,799
20,0.004044,0,Найдено точное решение,3
92,0.793292,38076,Нет улучшений на последних двух итерациях,532
55,1.247190,6644,Нет улучшений на последних двух итерациях,836
118,1.225830,882,Нет улучшений на последних двух итерациях,837
73,1.290997,18480,Нет улучшений на последних двух итерациях,876
64,1.313144,795,Нет улучшений на последних двух итерациях,881
46,1.457952,27793,Достигнуто максимальное число поколений,1000
29,0.673421,0,Найдено точное решение,443
74,0.265305,0,Найдено точное решение,172
128,0.800407,0,Найдено точное решение,525
38,1.045484,7617,Нет улучшений на последних двух итерациях,689
111,0.955856,7,Нет улучшений на последних двух итерациях,635
21,0.921715,965,Нет улучшений на последних двух итерациях,614
119,0.856036,2853,Нет улучшений на последних двух итерациях,567
101,1.470869,15262,Достигнуто максимальное число поколений,1000
129,0.619004,0,Найдено точное решение,413
120,0.216179,0,Найдено точное решение,154
65,1.015087,2919,Нет улучшений на последних двух итерациях,678
2,1.178317,3604,Нет улучшений на последних двух итерациях,780
47,0.902163,2130,Нет улучшений на последних двух итерациях,615
93,1.241955,6148,Нет улучшений на последних двух итерациях,792
30,1.075209,14153,Нет улучшений на последних двух итерациях,713
11,1.472274,7073,Достигнуто максимальное число поколений,1000
75,1.045985,4987,Нет улучшений на последних двух итерациях,679
84,1.515640,32825,Достигнуто максимальное число поколений,1000
3,0.320758,0,Найдено точное решение,215
76,0.119110,0,Найдено точное решение,77
56,1.506958,25615,Достигнуто максимальное число поколений,1000
112,0.811917,3238,Нет улучшений на последних двух итерациях,534
39,1.121026,2833,Нет улучшений на последних двух итерациях,737
94,0.475764,0,Найдено точное решение,309
102,0.770493,34228,Нет улучшений на последних двух итерациях,506
130,0.781167,13640,Нет улучшений на последних двух итерациях,531
66,0.853207,693,Нет улучшений на последних двух итерациях,569
121,0.931858,9149,Нет улучшений на последних двух итерациях,607
48,0.977111,5446,Нет улучшений на последних двух итерациях,657
95,0.552300,0,Найдено точное решение,359
85,0.851652,168465,Нет улучшений на последних двух итерациях,564
77,0.794099,502377,Нет улучшений на последних двух итерациях,515
4,0.913166,2002,Нет улучшений на последних двух итерациях,607
22,1.534221,22344,Достигнуто максимальное число поколений,1000
12,1.052648,12516,Нет улучшений на последних двух итерациях,716
57,0.941833,15860,Нет улучшений на последних двух итерациях,616
40,0.802028,11390,Нет улучшений на последних двух итерациях,507
67,0.631425,0,Найдено точное решение,397
131,0.824916,8739,Нет улучшений на последних двух итерациях,516
103,0.843547,15203,Нет улучшений на последних двух итерациях,555
113,1.105998,354,Нет улучшений на последних двух итерациях,692
132,0.227556,0,Найдено точное решение,153
31,1.580657,11875,Достигнуто максимальное число поколений,1000
49,0.837816,6539,Нет улучшений на последних двух итерациях,532
122,0.938403,35219,Нет улучшений на последних двух итерациях,590
86,0.928491,37435,Нет улучшений на последних двух итерациях,612
104,0.594086,0,Найдено точное решение,371
78,0.969174,5975,Нет улучшений на последних двух итерациях,627
41,0.812849,253610,Нет улучшений на последних двух итерациях,503
50,0.482555,0,Найдено точное решение,327
96,1.171508,1081,Нет улучшений на последних двух итерациях,739
58,1.029633,4886,Нет улучшений на последних двух итерациях,626
114,0.866457,1567,Нет улучшений на последних двух итерациях,551
5,1.242205,2131,Нет улучшений на последних двух итерациях,811
79,0.365176,0,Найдено точное решение,239
13,1.407365,3679,Нет улучшений на последних двух итерациях,890
133,0.962071,4034,Нет улучшений на последних двух итерациях,628
68,1.253541,28777,Нет улучшений на последних двух итерациях,802
32,1.080739,19033,Нет улучшений на последних двух итерациях,678
23,1.608493,38274,Достигнуто максимальное число поколений,1000
97,0.796566,9633,Нет улучшений на последних двух итерациях,518
42,0.984969,286,Нет улучшений на последних двух итерациях,628
87,1.117197,1751,Нет улучшений на последних двух итерациях,720
123,1.507869,714,Достигнуто максимальное число поколений,1000
115,0.901635,333132,Нет улучшений на последних двух итерациях,606
43,0.238466,0,Найдено точное решение,160
105,1.274345,9787,Нет улучшений на последних двух итерациях,851
6,1.010949,1753,Нет улучшений на последних двух итерациях,659
80,0.973864,0,Найдено точное решение,645
14,0.863193,2112,Нет улучшений на последних двух итерациях,582
7,0.143547,0,Найдено точное решение,97
51,1.352268,1174,Нет улучшений на последних двух итерациях,860
69,0.943245,792,Нет улучшений на последних двух итерациях,611
134,1.077258,23416,Нет улучшений на последних двух итерациях,686
98,0.833989,31416,Нет улучшений на последних двух итерациях,530
59,1.621107,29843,Достигнуто максимальное число поколений,1000
88,0.803291,0,Найдено точное решение,540
33,1.209825,450027,Нет улучшений на последних двух итерациях,776
99,0.192007,0,Найдено точное решение,121
44,0.814833,525,Нет улучшений на последних двух итерациях,519
70,0.568700,0,Найдено точное решение,363
106,0.969846,5882,Нет улучшений на последних двух итерациях,623
124,1.119085,42,Нет улучшений на последних двух итерациях,731
24,1.587828,152,Достигнуто максимальное число поколений,1000
116,1.193903,2900,Нет улучшений на последних двух итерациях,755
