Номер вектора,Вектор,a_max
1,"[297075, 544183, 434243, 132025, 530521, 558151, 219157, 1014850, 54345, 321691, 218992, 836210, 1039669, 64867, 674085, 1006382, 892324, 352786, 969034, 1031284, 95545, 231045, 573330, 193133]",1048576
2,"[1035268, 732807, 88572, 317416, 1014627, 381138, 577590, 656609, 132481, 130893, 755260, 217570, 1025918, 969405, 16312, 499136, 470614, 512333, 507069, 253586, 357853, 78247, 27900, 105861]",1048576
3,"[226237, 701901, 627245, 163127, 875076, 1020253, 837688, 158403, 990103, 1029926, 795005, 1042262, 359012, 261130, 781435, 1018730, 557632, 126643, 119080, 301389, 400670, 790226, 123144, 1045199]",1048576
4,"[716400, 766524, 399807, 59243, 23454, 476952, 27546, 1025446, 850134, 974214, 49392, 765134, 313136, 798537, 168229, 439267, 592901, 991396, 209654, 743167, 819654, 667726, 158064, 906814]",1048576
5,"[654771, 547532, 951958, 575766, 586782, 565042, 826366, 665979, 458259, 101820, 826616, 941527, 48650, 110685, 409747, 656727, 838264, 739637, 631999, 957841, 923927, 658263, 777208, 542580]",1048576
6,"[1036999, 279813, 642628, 371247, 446934, 500076, 1020599, 856066, 820442, 884059, 996619, 505950, 389966, 129117, 494, 969171, 63052, 328481, 1009781, 574325, 452114, 573128, 613979, 240675]",1048576
7,"[651606, 326363, 561526, 171216, 473459, 665917, 96966, 322725, 398448, 849159, 219710, 355874, 340114, 647412, 1011450, 132406, 3845, 64513, 58833, 359463, 752547, 121954, 70307, 680943]",1048576
8,"[205778, 963746, 744983, 335637, 584687, 342888, 719442, 370856, 602159, 694756, 506162, 444004, 606816, 436306, 243739, 639844, 843227, 616848, 616122, 485089, 535428, 364093, 852078, 132383]",1048576
9,"[462701, 151578, 488792, 382214, 702610, 665293, 338233, 480745, 979950, 580244, 878917, 869814, 1027683, 766681, 145373, 173661, 603629, 258173, 849750, 185690, 805098, 206306, 77565, 921540]",1048576
10,"[621980, 664224, 277709, 103254, 907292, 827204, 84401, 488943, 923533, 700317, 279765, 815259, 808729, 579069, 597224, 209602, 894398, 391030, 1021833, 257462, 686981, 55847, 806114, 981946]",1048576
11,"[296191, 87647, 157000, 953568, 69800, 623939, 838744, 329535, 430138, 500757, 1126, 982128, 262252, 628714, 919726, 437776, 426854, 988797, 412597, 566531, 676368, 839300, 991121, 1002314]",1048576
