Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
10,0.098045,0,Найдено точное решение,45
91,0.125171,0,Найдено точное решение,77
11,0.178611,0,Найдено точное решение,106
109,0.243373,0,Найдено точное решение,147
1,0.482125,0,Найдено точное решение,260
100,0.469091,0,Найдено точное решение,264
12,0.335407,0,Найдено точное решение,190
55,0.654340,0,Найдено точное решение,370
56,0.090202,0,Найдено точное решение,62
13,0.193341,0,Найдено точное решение,123
57,0.055252,0,Найдено точное решение,28
73,0.801532,0,Найдено точное решение,475
92,0.721512,0,Найдено точное решение,415
118,0.950763,72,Нет улучшений на последних двух итерациях,563
127,0.966664,45,Нет улучшений на последних двух итерациях,569
82,1.005670,193,Нет улучшений на последних двух итерациях,568
2,0.597212,0,Найдено точное решение,332
46,1.051680,221,Нет улучшений на последних двух итерациях,590
64,1.054682,403,Нет улучшений на последних двух итерациях,627
19,1.127367,444,Нет улучшений на последних двух итерациях,654
28,1.159568,625,Нет улучшений на последних двух итерациях,649
14,0.385672,0,Найдено точное решение,215
74,0.427159,0,Найдено точное решение,253
37,1.343474,31,Нет улучшений на последних двух итерациях,782
75,0.135043,0,Найдено точное решение,68
128,0.378305,0,Найдено точное решение,224
76,0.019920,0,Найдено точное решение,8
110,1.132982,94,Нет улучшений на последних двух итерациях,647
65,0.457602,0,Найдено точное решение,263
77,0.239952,0,Найдено точное решение,132
20,0.633671,0,Найдено точное решение,382
66,0.246782,0,Найдено точное решение,151
119,0.897302,8,Нет улучшений на последних двух итерациях,525
3,0.941558,74,Нет улучшений на последних двух итерациях,555
47,0.990782,76,Нет улучшений на последних двух итерациях,571
15,0.871201,0,Найдено точное решение,495
83,1.030174,59,Нет улучшений на последних двух итерациях,599
93,1.276546,302,Нет улучшений на последних двух итерациях,746
48,0.130810,0,Найдено точное решение,83
101,1.683831,114,Достигнуто максимальное число поколений,1000
120,0.318753,0,Найдено точное решение,192
29,1.083102,0,Найдено точное решение,648
30,0.007180,0,Найдено точное решение,2
4,0.262198,0,Найдено точное решение,151
58,1.457238,9,Нет улучшений на последних двух итерациях,845
129,0.898321,189,Нет улучшений на последних двух итерациях,543
121,0.109435,0,Найдено точное решение,64
111,0.959486,0,Найдено точное решение,569
94,0.309343,0,Найдено точное решение,200
130,0.250281,0,Найдено точное решение,159
49,0.403796,0,Найдено точное решение,245
122,0.281251,0,Найдено точное решение,176
67,0.836232,15,Нет улучшений на последних двух итерациях,505
131,0.156480,0,Найдено точное решение,91
16,0.705505,0,Найдено точное решение,429
38,1.413819,244,Нет улучшений на последних двух итерациях,853
21,1.099356,0,Найдено точное решение,670
59,0.588958,0,Найдено точное решение,362
5,0.603783,0,Найдено точное решение,374
112,0.545866,0,Найдено точное решение,344
132,0.368209,0,Найдено точное решение,207
68,0.534398,0,Найдено точное решение,336
84,1.087231,109,Нет улучшений на последних двух итерациях,662
102,1.018602,37,Нет улучшений на последних двух итерациях,603
95,0.851573,0,Найдено точное решение,506
78,1.679759,317,Достигнуто максимальное число поколений,1000
50,0.755906,0,Найдено точное решение,447
79,0.106022,0,Найдено точное решение,64
123,0.894576,84,Нет улучшений на последних двух итерациях,507
39,0.859688,0,Найдено точное решение,505
31,1.394980,238,Нет улучшений на последних двух итерациях,823
17,0.987373,177,Нет улучшений на последних двух итерациях,570
60,0.994252,90,Нет улучшений на последних двух итерациях,595
113,0.936447,0,Найдено точное решение,554
22,1.041804,437,Нет улучшений на последних двух итерациях,633
114,0.042229,0,Найдено точное решение,25
6,1.084522,101,Нет улучшений на последних двух итерациях,655
69,0.837944,35,Нет улучшений на последних двух итерациях,510
133,1.013560,0,Найдено точное решение,607
103,0.901500,21,Нет улучшений на последних двух итерациях,538
80,0.836419,30,Нет улучшений на последних двух итерациях,501
96,0.978558,0,Найдено точное решение,571
85,1.211764,33,Нет улучшений на последних двух итерациях,712
104,0.265879,0,Найдено точное решение,146
18,0.684437,0,Найдено точное решение,410
32,0.855885,370,Нет улучшений на последних двух итерациях,522
115,0.639452,0,Найдено точное решение,376
81,0.282486,0,Найдено точное решение,160
40,0.947112,1171,Нет улучшений на последних двух итерациях,565
124,1.158469,67,Нет улучшений на последних двух итерациях,698
61,0.845267,0,Найдено точное решение,508
136,0.294659,0,Найдено точное решение,178
7,0.826304,0,Найдено точное решение,488
62,0.185413,0,Найдено точное решение,109
134,0.832267,0,Найдено точное решение,501
33,0.417860,0,Найдено точное решение,255
70,0.939557,423,Нет улучшений на последних двух итерациях,546
97,0.638276,0,Найдено точное решение,402
71,0.031403,0,Найдено точное решение,22
51,1.639151,829,Нет улучшений на последних двух итерациях,962
63,0.139877,0,Найдено точное решение,81
86,0.879020,390,Нет улучшений на последних двух итерациях,518
105,0.946119,0,Найдено точное решение,564
34,0.476964,0,Найдено точное решение,257
23,1.536304,154,Нет улучшений на последних двух итерациях,935
35,0.040065,0,Найдено точное решение,33
116,0.911284,44,Нет улучшений на последних двух итерациях,542
24,0.026160,0,Найдено точное решение,17
8,0.766129,0,Найдено точное решение,443
41,1.002233,59,Нет улучшений на последних двух итерациях,588
72,0.634143,0,Найдено точное решение,356
125,1.002316,316,Нет улучшений на последних двух итерациях,567
137,0.936055,0,Найдено точное решение,543
42,0.163991,0,Найдено точное решение,96
98,0.899548,205,Нет улучшений на последних двух итерациях,543
154,0.815863,523,Нет улучшений на последних двух итерациях,504
52,0.965451,107,Нет улучшений на последних двух итерациях,529
43,0.201073,0,Найдено точное решение,111
36,0.551456,0,Найдено точное решение,331
53,0.101423,0,Найдено точное решение,51
99,0.281793,0,Найдено точное решение,154
135,1.196316,24,Нет улучшений на последних двух итерациях,713
145,1.562293,0,Найдено точное решение,938
181,0.091185,0,Найдено точное решение,67
106,0.903240,720,Нет улучшений на последних двух итерациях,543
25,0.783739,0,Найдено точное решение,465
182,0.097476,0,Найдено точное решение,49
54,0.262546,0,Найдено точное решение,160
9,0.799544,0,Найдено точное решение,478
117,0.889527,32,Нет улучшений на последних двух итерациях,528
163,0.747259,0,Найдено точное решение,462
87,1.135066,79,Нет улучшений на последних двух итерациях,669
190,0.381288,0,Найдено точное решение,217
44,0.714100,0,Найдено точное решение,424
208,0.362457,0,Найдено точное решение,211
138,1.061629,178,Нет улучшений на последних двух итерациях,612
191,0.246843,0,Найдено точное решение,147
217,0.422307,0,Найдено точное решение,235
126,1.179345,263,Нет улучшений на последних двух итерациях,694
155,1.160217,198,Нет улучшений на последних двух итерациях,702
146,0.998382,1308,Нет улучшений на последних двух итерациях,584
107,0.959753,0,Найдено точное решение,546
156,0.206298,0,Найдено точное решение,125
172,1.248277,201,Нет улучшений на последних двух итерациях,726
173,0.043554,0,Найдено точное решение,19
88,1.001141,0,Найдено точное решение,586
164,1.148119,5,Нет улучшений на последних двух итерациях,705
26,1.315669,71,Нет улучшений на последних двух итерациях,786
218,0.803583,0,Найдено точное решение,497
45,0.930695,10,Нет улучшений на последних двух итерациях,566
147,0.533805,0,Найдено точное решение,312
209,1.029726,0,Найдено точное решение,611
235,0.138855,0,Найдено точное решение,76
192,1.074283,163,Нет улучшений на последних двух итерациях,617
226,1.032172,99,Нет улучшений на последних двух итерациях,597
183,1.594596,111,Нет улучшений на последних двух итерациях,946
199,1.677600,93,Достигнуто максимальное число поколений,1000
108,0.807733,102,Нет улучшений на последних двух итерациях,502
200,0.036993,0,Найдено точное решение,26
165,0.536524,0,Найдено точное решение,314
139,1.323735,293,Нет улучшений на последних двух итерациях,775
174,0.848958,121,Нет улучшений на последних двух итерациях,501
210,0.488484,0,Найдено точное решение,283
157,1.068914,88,Нет улучшений на последних двух итерациях,647
201,0.312580,0,Найдено точное решение,192
193,0.529813,0,Найдено точное решение,337
148,0.734711,0,Найдено точное решение,456
89,1.017550,15,Нет улучшений на последних двух итерациях,623
219,0.928894,153,Нет улучшений на последних двух итерациях,571
175,0.412767,0,Найдено точное решение,258
184,0.656301,0,Найдено точное решение,416
236,0.987396,23,Нет улучшений на последних двух итерациях,610
227,0.877870,0,Найдено точное решение,551
185,0.214379,0,Найдено точное решение,139
27,1.391781,34,Нет улучшений на последних двух итерациях,857
244,1.138828,417,Нет улучшений на последних двух итерациях,684
166,1.122381,124,Нет улучшений на последних двух итерациях,693
149,0.812202,0,Найдено точное решение,515
158,0.945268,0,Найдено точное решение,588
140,1.196957,0,Найдено точное решение,695
194,0.885641,153,Нет улучшений на последних двух итерациях,533
202,0.951206,190,Нет улучшений на последних двух итерациях,582
186,0.612556,0,Найдено точное решение,360
220,0.913770,183,Нет улучшений на последних двух итерациях,541
211,1.295467,31,Нет улучшений на последних двух итерациях,774
90,1.216251,46,Нет улучшений на последних двух итерациях,721
262,0.016648,0,Найдено точное решение,10
253,0.685205,0,Найдено точное решение,421
245,0.624159,0,Найдено точное решение,356
203,0.470026,0,Найдено точное решение,270
228,1.047866,7,Нет улучшений на последних двух итерациях,650
176,1.304806,69,Нет улучшений на последних двух итерациях,788
187,0.507779,0,Найдено точное решение,329
167,0.837791,0,Найдено точное решение,511
159,0.810209,59,Нет улучшений на последних двух итерациях,504
150,0.843867,0,Найдено точное решение,503
168,0.074588,0,Найдено точное решение,46
237,1.354363,87,Нет улучшений на последних двух итерациях,821
238,0.042848,0,Найдено точное решение,17
195,0.965789,0,Найдено точное решение,580
169,0.210537,0,Найдено точное решение,122
221,1.029066,263,Нет улучшений на последних двух итерациях,618
141,1.245534,80,Нет улучшений на последних двух итерациях,724
263,0.871097,201,Нет улучшений на последних двух итерациях,511
160,0.492521,0,Найдено точное решение,306
212,1.031838,62,Нет улучшений на последних двух итерациях,592
161,0.025357,0,Найдено точное решение,13
246,0.803184,0,Найдено точное решение,474
229,0.900859,137,Нет улучшений на последних двух итерациях,532
177,0.894155,391,Нет улучшений на последних двух итерациях,509
151,0.731495,0,Найдено точное решение,442
178,0.102420,0,Найдено точное решение,66
239,0.825703,0,Найдено точное решение,479
254,1.370829,90,Нет улучшений на последних двух итерациях,823
