Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
19,0.096464,12.9715,140
109,0.023263,13.2004,122
73,0.00316,12.7645,111
1,0.16546,13.2831,134
55,0.276765,13.3815,115
91,0.126941,12.6743,110
37,0.101247,13.2457,140
110,0.095507,12.9857,135
20,0.053698,12.4607,121
74,0.000948,12.8732,132
2,0.025,12.4552,122
56,0.002877,13.0521,125
92,0.22777,12.7436,114
38,0.004652,12.9168,120
111,0.09922,12.5495,121
21,0.033248,12.7886,125
3,0.005476,12.8759,129
75,0.053312,12.7052,135
93,0.140893,12.3937,125
57,0.002483,12.6229,127
39,0.094995,12.842,136
22,0.001717,12.0782,117
112,0.001319,13.1333,133
4,0.007993,12.3624,131
76,0.004486,12.9522,120
94,0.034061,13.3949,106
40,0.026051,12.1775,114
58,0.279209,12.1066,104
23,0.008168,12.7049,104
113,0.035329,12.5321,113
5,0.585271,12.6659,104
77,0.027248,12.2395,127
59,0.032511,12.097,125
41,0.002871,11.8457,136
95,0.005883,12.2666,145
24,0.021331,12.7316,129
60,0.062761,12.0931,123
114,0.000276,12.3451,131
78,0.018505,12.055,112
6,0.057565,12.5137,109
96,0.003533,12.05,124
42,0.297948,12.3423,121
25,0.044578,12.3153,123
115,0.017635,12.329,110
43,0.00174,12.4795,127
97,0.008006,12.6218,137
7,0.044739,12.0565,128
61,0.14292,12.7479,112
79,0.024651,12.3475,134
116,0.009627,12.8715,133
26,0.000432,12.8038,132
98,0.000753,13.0291,125
8,0.001236,12.8231,132
44,0.000254,13.0284,116
80,0.121439,12.7581,129
62,0.10556,12.6962,130
117,0.147035,12.5721,119
45,0.026511,12.4375,130
99,0.004911,13.354,128
27,0.02496,12.6998,115
9,0.032221,12.77,139
81,0.000075,12.5067,127
63,0.000178,12.1082,104
118,0.084729,12.6874,117
28,0.021248,12.3187,111
46,0.000184,12.5101,141
100,0.000774,12.3018,111
10,0.004363,12.6307,112
82,0.047222,11.8932,132
64,0.249141,12.6286,101
119,0.10808,12.3959,117
29,0.010102,12.8147,115
47,0.002291,12.7747,122
101,0.0113,12.8346,114
11,0.019955,13.0518,132
65,0.008764,12.3699,124
83,0.037209,12.7413,112
120,0.336101,13.0116,119
30,0.019271,12.2705,121
48,0.000892,13.0374,130
102,0.036368,12.7591,115
12,0.029718,12.7272,123
84,0.005484,12.8337,120
66,0.004053,12.5083,120
121,0.000039,12.3668,106
31,0.010517,12.7916,122
49,0.050205,11.7253,132
13,0.037243,12.7207,120
103,0.013424,12.3622,118
85,0.033085,12.1094,120
67,0.001045,12.7202,119
122,0.034513,12.3038,113
50,0.001043,11.8804,131
32,0.00823,11.8648,121
104,0.239194,12.1825,121
14,0.055296,13.238,117
68,0.258329,12.8873,143
86,0.003186,12.0843,111
123,0.072443,12.9551,109
51,0.192407,13.5044,110
33,0.00466,12.871,112
105,0.046686,13.1572,128
15,0.015007,12.2428,130
69,0.176842,12.8789,122
87,0.066837,12.8484,121
124,0.123711,12.5587,114
52,0.148119,12.383,142
34,0.150671,13.1955,122
106,0.006918,12.6699,115
16,0.017637,12.9611,128
70,0.002028,13.0023,112
88,0.032401,12.6795,124
125,0.006674,13.0349,122
53,0.328953,13.5243,112
35,0.007712,13.02,99
107,0.003177,12.2301,112
17,0.232983,12.3725,121
71,0.024999,13.0966,123
89,0.116058,12.2007,125
126,0.040891,13.1107,100
54,0.02731,12.5273,110
108,0.003267,12.4542,112
36,0.00621,12.2101,119
18,0.000728,13.1785,115
72,0.030555,12.2836,109
90,0.002539,12.5684,126
163,0.020322,12.4331,114
127,0.052436,12.2058,123
145,0.127975,12.2381,114
181,0.001117,12.5755,124
217,0.008333,13.1176,109
199,0.126322,12.628,115
235,0.026039,12.6457,114
128,0.046745,12.6565,104
164,0.000789,12.8527,126
146,0.004815,12.9101,121
182,0.125849,11.9902,126
218,0.399991,12.0562,128
200,0.001089,12.9626,122
236,0.000348,12.7932,101
129,0.469718,12.1756,112
147,0.052194,12.446,124
165,0.212192,12.1885,131
183,0.027133,12.7224,121
219,0.001111,12.4004,104
201,0.03462,12.6255,126
237,0.334797,12.2947,109
148,0.00064,11.9858,122
130,0.040308,11.8787,110
166,0.013626,13.0222,120
184,0.000959,12.6302,121
220,0.042183,11.9341,132
202,0.418207,13.1605,107
238,0.000237,13.7203,117
185,0.029622,13.1256,118
149,0.046353,13.6161,120
131,0.000757,13.3879,111
167,0.024238,13.5457,130
221,0.08808,13.3144,109
203,0.110014,13.1653,109
239,0.006003,13.2849,141
132,0.153047,13.6293,127
186,0.053992,14.0177,114
168,0.0847,13.1817,126
150,0.036506,13.187,108
222,0.368636,12.5312,131
204,0.00345,12.1453,110
240,0.152074,12.7193,117
187,0.170467,12.9226,131
133,0.035595,12.736,122
151,0.105631,12.4915,135
223,0.33927,12.8877,117
169,0.000166,12.3251,121
205,0.024928,11.57,109
241,0.104612,12.6474,139
188,0.004118,12.7283,124
134,0.052229,12.6899,125
152,0.028199,12.6707,119
224,0.017591,13.1121,111
170,0.00014,12.3288,120
206,0.005493,12.5926,136
242,0.147949,12.3818,144
153,0.091542,12.7912,120
189,0.073806,12.438,109
135,0.097353,12.7491,106
225,0.050049,12.7569,109
171,0.008043,12.4766,110
207,0.070619,12.6345,118
243,0.155168,12.9526,130
154,0.088137,13.2219,106
136,0.000136,12.5592,117
190,0.007411,12.9488,114
226,0.126625,12.7116,113
172,0.021981,12.5983,106
208,0.000574,12.4636,110
244,0.096487,12.9533,138
155,0.001917,13.0125,126
191,0.032347,12.831,139
137,0.061057,12.0369,132
227,0.012256,12.2795,118
173,0.399671,12.1309,111
209,0.018293,12.5114,116
245,0.000406,12.6404,165
156,0.042397,12.3691,116
192,0.035227,12.8794,113
138,0.005686,12.4399,128
210,0.064722,12.1878,125
228,0.159853,12.5124,111
174,0.000163,12.2978,97
246,0.053374,12.5522,145
193,0.1321,12.4163,141
157,0.003107,12.421,135
211,0.005459,13.0815,136
229,0.088179,13.1767,119
139,0.040847,13.1605,109
175,0.000172,12.2181,118
247,0.011128,12.1965,131
194,0.079492,12.9518,109
158,0.033511,12.4714,120
212,0.037937,13.286,120
230,0.013594,13.0913,125
176,0.090497,13.2507,130
140,0.001526,12.473,115
248,0.000082,13.2973,123
195,0.297463,13.0979,121
159,0.136287,12.662,113
213,0.002139,12.7437,118
231,0.132063,12.0704,128
177,0.001145,12.943,124
141,0.004461,12.9116,112
249,0.13777,12.7032,140
196,0.021293,13.031,139
160,0.2267,13.4589,133
214,0.006228,13.2585,130
178,0.023011,13.2537,108
232,0.001445,13.2269,112
142,0.000093,13.3066,109
250,0.000154,13.2533,135
197,0.026253,12.547,125
161,0.0492,13.1831,112
215,0.025167,13.2913,113
179,0.077432,12.4475,116
233,0.308043,12.3758,119
143,0.001937,13.0959,112
251,0.096195,12.8424,116
162,0.059534,13.5935,126
198,0.000902,12.4006,109
216,0.00072,12.3996,93
180,0.007941,12.4169,118
144,0.053308,13.0324,127
234,0.147471,13.2638,110
252,0.017688,13.2267,127
253,0.007573,12.7533,117
271,0.004501,13.3066,115
289,0.010856,13.467,129
343,0.014846,13.6012,128
325,0.022666,13.4486,132
307,0.017279,13.2698,141
361,0.008225,12.9845,130
254,0.046934,13.398,119
272,0.090723,13.3365,139
308,0.009811,13.6613,144
290,0.005483,14.1065,139
326,0.000747,13.3252,139
344,0.012885,13.2762,116
362,0.009901,13.3348,113
255,0.001073,12.4324,121
273,0.000915,12.6179,105
327,0.218955,13.4719,135
291,0.000047,13.1655,106
309,0.106849,12.3941,138
345,0.000249,12.5943,121
363,0.02683,12.8926,126
256,0.034088,13.3672,123
274,0.034687,13.4388,128
328,0.045566,13.6505,158
292,0.177492,13.3169,130
310,0.002432,13.7154,138
346,0.055063,13.2118,129
364,0.044546,14.0548,121
257,0.010943,14.0989,111
275,0.000028,13.8854,111
293,0.037021,13.9517,117
329,0.030728,13.5355,134
311,0.062878,13.9566,126
347,0.015173,14.1443,123
365,0.001529,13.027,124
258,0.028226,13.6624,116
276,0.120393,13.0915,126
294,0.105886,12.5145,113
330,0.000087,12.5699,133
312,0.438081,12.9472,125
348,0.048268,13.2795,111
366,0.063342,13.5887,125
259,0.042841,13.145,111
277,0.106431,12.9171,127
331,0.006098,12.6331,110
295,0.071212,12.7328,127
313,0.095934,13.3251,113
349,0.019042,12.8673,117
367,0.049779,12.9213,105
260,0.187271,13.4527,102
278,0.000201,12.7805,135
332,0.003622,13.243,107
350,0.050413,13.4943,110
296,0.000616,13.3201,113
314,0.209213,13.4477,109
368,0.003045,12.1999,118
261,0.063231,13.0224,113
279,0.089429,12.4238,104
333,0.002721,12.5134,138
351,0.020641,12.9883,128
315,0.000827,13.5574,120
297,0.062675,13.1392,128
369,0.122705,12.9195,123
262,0.227936,12.6163,120
280,0.000892,13.6214,105
334,0.000286,14.1855,122
352,0.061176,12.9579,131
298,0.101018,13.2626,108
316,0.082707,13.394,113
370,0.086207,13.0289,130
263,0.139651,12.9732,111
335,0.016946,13.1765,113
281,0.002796,14.1016,102
353,0.003146,13.1526,125
299,0.325308,13.3806,118
317,0.000241,12.6348,123
371,0.084751,13.1907,166
264,0.000659,13.4173,121
336,0.000517,13.2486,114
282,0.001257,13.0661,108
318,0.000291,12.5824,103
354,0.025432,13.2209,127
300,0.000062,13.3476,121
372,0.044311,13.9002,131
265,0.035254,13.1001,124
337,0.079929,13.0715,113
283,0.173849,12.9534,114
319,0.036448,13.3991,110
355,0.030877,13.4136,121
301,0.000134,13.388,147
373,0.227322,12.3954,99
266,0.018815,12.4335,127
356,0.072856,12.2079,121
284,0.063347,12.6907,128
320,0.000408,12.3436,113
338,0.123718,13.1108,112
374,0.002523,12.8237,144
302,0.00282,11.8329,118
267,0.000511,12.6435,113
321,0.034683,13.0054,130
285,0.026823,12.7852,108
357,0.011596,12.4603,111
339,0.126185,12.2324,125
375,0.044088,12.069,138
303,0.032683,13.4231,127
268,0.300558,13.0758,122
286,0.090098,13.0633,130
358,0.000844,13.3597,112
322,0.03701,13.1537,115
340,0.011657,13.0986,120
304,0.011885,13.0321,134
376,0.08844,12.8881,145
269,0.000094,13.0283,132
323,0.00002,13.1475,125
359,0.940003,13.5991,121
287,0.00008,12.9273,137
341,0.09383,13.1322,120
305,0.005347,13.2373,135
377,0.216028,12.5782,127
270,0.000846,12.8653,125
288,0.001532,12.5486,110
360,0.008883,13.5179,128
324,0.081423,13.6144,125
342,0.09625,13.4609,121
306,0.060693,13.3765,136
378,0.002488,13.122,111
379,0.060949,13.3623,154
397,0.00176,13.6023,149
451,0.002823,13.4583,130
469,0.022813,13.2681,111
487,0.078523,12.8709,109
433,0.017568,12.926,102
415,0.011346,13.2217,110
380,0.031428,13.1088,130
398,0.061383,12.8051,134
488,0.014855,13.607,108
452,0.006652,12.7933,127
416,0.2545,13.1354,123
470,0.006421,12.8205,115
434,0.1788,12.6364,133
381,0.00435,13.1316,114
399,0.055395,13.0957,100
453,0.000372,12.3026,124
435,0.015391,12.6565,127
417,0.148329,13.1363,127
489,0.015599,12.5577,121
471,0.267267,12.7,121
382,0.031708,13.2548,108
400,0.160337,12.8483,118
472,0.002679,13.3471,103
490,0.006547,12.7939,124
436,0.001979,13.3376,117
454,0.036928,13.6282,117
418,0.098001,13.41,142
383,0.01252,12.6888,106
401,0.321023,13.2741,156
473,0.018308,13.4215,119
419,0.015281,12.6813,109
