Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,333127,0.17
2,1,1168007,0.50
3,1,604259,0.33
4,1,160048,0.08
5,1,808175,0.42
6,1,221293,0.17
7,1,263414,0.08
8,1,179399,0.08
9,1,546082,0.38
10,1,787858,0.50
11,2,64379,0.08
12,2,640477,0.38
13,2,530570,0.25
14,2,910373,0.50
15,2,836074,0.46
16,2,541104,0.29
17,2,477812,0.25
18,2,446735,0.21
19,2,592611,0.33
20,2,313867,0.12
21,3,712809,0.46
22,3,222710,0.29
23,3,79176,0.08
24,3,202694,0.08
25,3,922895,0.50
26,3,120550,0.08
27,3,156570,0.17
28,3,760066,0.50
29,3,862409,0.50
30,3,486560,0.33
31,4,448880,0.17
32,4,549961,0.25
33,4,401768,0.17
34,4,876640,0.38
35,4,578102,0.25
36,4,254477,0.12
37,4,406502,0.17
38,4,1090825,0.46
39,4,739894,0.29
40,4,611091,0.29
41,5,163965,0.17
42,5,610704,0.29
43,5,812965,0.42
44,5,616632,0.42
45,5,869319,0.46
46,5,209868,0.17
47,5,177347,0.12
48,5,370187,0.29
49,5,156158,0.08
50,5,743029,0.46
51,6,913611,0.46
52,6,126027,0.08
53,6,283750,0.21
54,6,761903,0.42
55,6,467598,0.29
56,6,590403,0.29
57,6,119373,0.12
58,6,730975,0.42
59,6,155386,0.08
60,6,803144,0.50
61,7,357304,0.17
62,7,744711,0.38
63,7,291288,0.25
64,7,867689,0.42
65,7,182431,0.12
66,7,291785,0.21
67,7,555279,0.42
68,7,281767,0.29
69,7,442344,0.29
70,7,451289,0.29
71,8,916149,0.50
72,8,419251,0.25
73,8,160373,0.08
74,8,183432,0.08
75,8,364832,0.21
76,8,118197,0.08
77,8,384850,0.17
78,8,714855,0.46
79,8,739817,0.38
80,8,659481,0.38
81,9,529286,0.25
82,9,434016,0.38
83,9,271234,0.12
84,9,386209,0.17
85,9,269532,0.17
86,9,542474,0.42
87,9,161336,0.12
88,9,207439,0.12
89,9,770788,0.38
90,9,723538,0.46
91,10,816941,0.38
92,10,435096,0.21
93,10,784990,0.42
94,10,905756,0.42
95,10,525482,0.25
96,10,235349,0.12
97,10,748761,0.33
98,10,895213,0.46
99,10,742435,0.38
100,10,138054,0.08
101,11,122589,0.08
102,11,729230,0.46
103,11,1044501,0.50
104,11,204938,0.08
105,11,406958,0.25
106,11,234700,0.17
107,11,228067,0.12
108,11,778464,0.42
109,11,171913,0.17
110,11,910677,0.46
111,12,564514,0.33
112,12,1027271,0.50
113,12,458809,0.21
114,12,348410,0.21
115,12,467394,0.21
116,12,676699,0.42
117,12,662703,0.42
118,12,774457,0.42
119,12,732674,0.42
120,12,520034,0.33
121,13,427519,0.17
122,13,1077755,0.50
123,13,662109,0.29
124,13,1079494,0.46
125,13,581472,0.29
126,13,781231,0.38
127,13,207811,0.12
128,13,386416,0.21
129,13,905625,0.38
130,13,1116434,0.50
131,14,377074,0.25
132,14,732696,0.42
133,14,776991,0.50
134,14,424815,0.17
135,14,137079,0.08
136,14,327862,0.21
137,14,721643,0.46
138,14,585140,0.46
139,14,303111,0.12
140,14,888071,0.46
141,15,315053,0.12
142,15,669379,0.33
143,15,333833,0.17
144,15,751026,0.33
145,15,355518,0.12
146,15,889919,0.38
147,15,191224,0.12
148,15,841919,0.42
149,15,423231,0.25
150,15,648854,0.29
151,16,847244,0.50
152,16,398679,0.17
153,16,515985,0.38
154,16,296434,0.21
155,16,190954,0.12
156,16,867991,0.50
157,16,694151,0.38
158,16,432069,0.25
159,16,773199,0.50
160,16,370010,0.21
161,17,607189,0.46
162,17,483913,0.29
163,17,792214,0.46
164,17,312598,0.25
165,17,436132,0.21
166,17,381418,0.21
167,17,728130,0.42
168,17,605832,0.38
169,17,815004,0.50
170,17,463113,0.25
171,18,91839,0.12
172,18,333115,0.21
173,18,997994,0.50
174,18,707450,0.50
175,18,800919,0.50
176,18,655998,0.33
177,18,565507,0.38
178,18,260254,0.12
179,18,445087,0.29
180,18,502905,0.21
181,19,458416,0.29
182,19,166268,0.08
183,19,190246,0.21
184,19,379791,0.33
185,19,464092,0.33
186,19,296880,0.25
187,19,322779,0.21
188,19,132985,0.08
189,19,245136,0.17
190,19,748170,0.46
191,20,727472,0.46
192,20,268364,0.25
193,20,200328,0.17
194,20,809872,0.50
195,20,542082,0.42
196,20,563254,0.38
197,20,539065,0.25
198,20,225782,0.08
199,20,268090,0.12
200,20,238137,0.17
201,21,324834,0.12
202,21,1054049,0.46
203,21,556083,0.21
204,21,146224,0.12
205,21,605992,0.29
206,21,832149,0.38
207,21,663010,0.29
208,21,321975,0.17
209,21,811232,0.33
210,21,882698,0.46
211,22,539223,0.33
212,22,437615,0.21
213,22,842856,0.38
214,22,335883,0.17
215,22,446350,0.17
216,22,485297,0.25
217,22,497466,0.21
218,22,548024,0.25
219,22,204758,0.12
220,22,1040871,0.50
221,23,593348,0.25
222,23,604381,0.29
223,23,968197,0.50
224,23,558171,0.33
225,23,960217,0.46
226,23,849939,0.42
227,23,610348,0.38
228,23,1171076,0.50
229,23,283684,0.17
230,23,509030,0.33
231,24,327568,0.12
232,24,791808,0.42
233,24,154735,0.12
234,24,853815,0.46
235,24,859957,0.42
236,24,618509,0.33
237,24,818178,0.46
238,24,399363,0.21
239,24,726903,0.33
240,24,532228,0.21
241,25,1000312,0.50
242,25,207446,0.08
243,25,643796,0.38
244,25,663666,0.38
245,25,442096,0.29
246,25,921569,0.50
247,25,531824,0.33
248,25,451384,0.25
249,25,518014,0.29
250,25,327777,0.17
251,26,646444,0.29
252,26,459019,0.29
253,26,841202,0.42
254,26,394945,0.12
255,26,1000610,0.50
256,26,761005,0.29
257,26,301921,0.17
258,26,770296,0.38
259,26,844048,0.42
260,26,499313,0.25
261,27,390512,0.29
262,27,357398,0.21
263,27,717313,0.46
264,27,529341,0.29
265,27,801084,0.50
266,27,635893,0.33
267,27,325891,0.17
268,27,245551,0.17
269,27,502577,0.25
270,27,308423,0.21
271,28,321816,0.25
272,28,472799,0.25
273,28,418470,0.25
274,28,295950,0.21
275,28,681080,0.46
276,28,214847,0.12
277,28,302041,0.12
278,28,156759,0.12
279,28,49248,0.17
280,28,580479,0.38
281,29,720765,0.42
282,29,629384,0.33
283,29,289644,0.17
284,29,852419,0.46
285,29,310182,0.25
286,29,738554,0.42
287,29,361999,0.21
288,29,857825,0.46
289,29,593250,0.33
290,29,894776,0.50
291,30,915954,0.50
292,30,785383,0.46
293,30,327095,0.25
294,30,777928,0.46
295,30,391502,0.25
296,30,154749,0.12
297,30,674366,0.50
298,30,168453,0.08
299,30,907495,0.50
300,30,461835,0.33
301,31,610738,0.38
302,31,396124,0.33
303,31,418453,0.25
304,31,534765,0.38
305,31,897223,0.50
306,31,144173,0.08
307,31,482560,0.21
308,31,463500,0.21
309,31,170489,0.12
310,31,472466,0.33
311,32,336620,0.25
312,32,497158,0.29
313,32,953700,0.50
314,32,223231,0.08
315,32,400238,0.29
316,32,43269,0.08
317,32,168753,0.08
318,32,754851,0.42
319,32,377201,0.21
320,32,519849,0.21
321,33,959375,0.50
322,33,349452,0.21
323,33,247102,0.12
324,33,588612,0.50
325,33,436383,0.29
326,33,368648,0.12
327,33,662189,0.33
328,33,668789,0.38
329,33,672991,0.38
330,33,838487,0.50
331,34,1054614,0.50
332,34,640747,0.33
333,34,321254,0.21
334,34,505451,0.25
335,34,542633,0.29
336,34,228592,0.12
337,34,184679,0.08
338,34,296144,0.21
339,34,601463,0.29
340,34,714658,0.42
341,35,284171,0.25
342,35,143537,0.12
343,35,725510,0.46
344,35,444142,0.29
345,35,558180,0.33
346,35,888706,0.50
347,35,271753,0.33
348,35,838569,0.46
349,35,447856,0.25
350,35,611188,0.42
351,36,481474,0.33
352,36,391724,0.25
353,36,458941,0.29
354,36,527482,0.33
355,36,214181,0.08
356,36,570868,0.42
357,36,730934,0.46
358,36,868949,0.46
359,36,328106,0.21
360,36,326237,0.17
361,37,254230,0.17
362,37,159709,0.12
363,37,167610,0.17
364,37,708965,0.46
365,37,117627,0.12
366,37,628836,0.46
367,37,277008,0.21
368,37,183021,0.17
369,37,90135,0.17
370,37,54424,0.08
371,38,615780,0.38
372,38,771961,0.46
373,38,167145,0.17
374,38,519414,0.33
375,38,665265,0.38
376,38,627964,0.46
377,38,180908,0.12
378,38,302430,0.25
379,38,547608,0.29
380,38,613032,0.38
381,39,433602,0.25
382,39,323535,0.12
383,39,157163,0.08
384,39,399482,0.29
385,39,708946,0.38
386,39,820856,0.46
387,39,701667,0.38
388,39,786253,0.50
389,39,990276,0.46
390,39,807081,0.38
391,40,719230,0.46
392,40,203332,0.17
393,40,224128,0.21
394,40,556290,0.25
395,40,221226,0.12
396,40,112039,0.08
397,40,541995,0.38
398,40,823404,0.46
399,40,341649,0.17
400,40,250043,0.08
401,41,408623,0.29
402,41,294786,0.25
403,41,243799,0.21
404,41,384954,0.33
405,41,339963,0.21
406,41,795532,0.42
407,41,683108,0.46
408,41,144754,0.08
409,41,530082,0.29
410,41,556404,0.33
411,42,524713,0.38
412,42,672642,0.50
413,42,574006,0.46
414,42,259209,0.12
415,42,309161,0.29
416,42,559128,0.42
417,42,147252,0.12
418,42,806511,0.50
419,42,639560,0.50
420,42,251403,0.12
421,43,320444,0.29
422,43,280306,0.25
423,43,142007,0.12
424,43,403204,0.29
425,43,313268,0.29
426,43,662132,0.46
427,43,383089,0.33
428,43,494330,0.38
429,43,294988,0.25
430,43,243751,0.21
431,44,994649,0.50
432,44,321349,0.12
433,44,234915,0.21
434,44,660167,0.38
435,44,936798,0.46
436,44,595147,0.33
437,44,381961,0.29
438,44,78932,0.12
439,44,283154,0.12
440,44,83982,0.12
441,45,505387,0.38
442,45,514297,0.33
443,45,283215,0.08
444,45,181068,0.12
445,45,345792,0.25
446,45,728452,0.50
447,45,263877,0.08
448,45,736437,0.50
449,45,563799,0.46
450,45,433625,0.29
451,46,574676,0.38
452,46,638792,0.29
453,46,400170,0.21
454,46,425605,0.25
455,46,412805,0.25
456,46,206684,0.25
457,46,964354,0.50
458,46,631273,0.29
459,46,912461,0.50
460,46,386168,0.21
461,47,141312,0.12
462,47,845572,0.38
463,47,852735,0.38
464,47,551221,0.25
465,47,863053,0.38
466,47,330940,0.21
467,47,540844,0.21
468,47,330974,0.17
469,47,221705,0.08
470,47,586917,0.29
471,48,315932,0.17
472,48,580738,0.33
473,48,878481,0.50
474,48,211354,0.17
475,48,313666,0.25
476,48,436693,0.17
477,48,723638,0.38
478,48,439976,0.25
479,48,148138,0.12
480,48,162789,0.12
481,49,446114,0.21
482,49,867044,0.42
483,49,647394,0.38
484,49,161994,0.08
485,49,845668,0.42
486,49,680448,0.38
487,49,272832,0.17
488,49,165534,0.12
489,49,251298,0.08
490,49,391429,0.17
491,50,678062,0.38
492,50,844815,0.42
493,50,510412,0.29
494,50,650427,0.33
495,50,480893,0.29
496,50,342302,0.17
497,50,267378,0.21
498,50,453182,0.25
499,50,163574,0.12
500,50,518184,0.29
