Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
1,0.693124,12.4706,2
109,0.883329,12.4052,1
19,0.000863,11.9806,3
55,0.01278,12.1706,3
37,0.354963,12.3267,1
73,0.009033,12.7388,2
91,0.003151,12.8895,4
2,0.008265,12.2604,3
38,0.009149,12.7917,1
74,1.125692,12.1715,3
110,0.047324,13.0094,3
20,0.000642,12.5517,3
92,0.735928,13.5171,2
56,5.050838,12.6803,3
3,1.469673,12.2702,4
39,0.738567,12.6681,1
75,0.0038,13.37,1
111,0.601345,12.3495,1
21,3.917319,12.2615,1
57,0.150051,13.4648,1
93,0.000153,13.2628,2
112,1.40769,12.7545,2
4,3.426493,12.7899,2
22,0.543399,12.524,1
40,0.009803,13.19,1
76,0.604461,12.8437,1
94,2.145388,12.6196,2
58,0.022568,12.93,3
113,0.014592,13.4357,3
5,0.289936,12.3481,1
77,1.406027,12.267,2
95,0.49633,12.6092,4
59,0.052118,12.6006,1
41,5.060646,13.1848,2
23,0.289208,12.9196,2
114,0.877099,12.8339,4
6,0.005101,12.8089,2
96,0.039771,12.903,3
78,0.001554,12.2278,1
42,2.323792,13.3044,3
60,0.869302,12.299,3
24,0.247848,12.7401,2
115,0.244153,12.8104,2
97,0.002965,13.3551,2
7,0.849818,12.3431,2
79,0.76589,13.0788,1
61,0.001217,12.5795,1
25,0.019739,13.3397,1
43,0.643087,12.8937,1
98,3.360573,13.1544,2
116,0.187944,12.4172,3
26,0.000062,12.3047,2
62,1.376972,13.2163,2
8,0.011481,13.0327,1
44,0.51056,12.8117,2
80,1.195925,12.5458,1
99,0.000248,12.5633,3
117,0.1799,12.2286,3
27,0.536986,13.2011,2
9,1.027467,12.3323,2
63,0.000392,12.6117,2
81,3.21735,12.687,1
45,0.001988,12.3382,2
100,0.001135,13.1606,6
10,0.045491,12.7039,1
118,0.273151,13.0305,3
82,0.000535,12.5633,1
28,3.54328,13.1388,5
46,0.046201,12.8497,3
64,0.004173,12.3718,1
101,0.570535,12.6429,1
29,0.020489,13.267,2
83,0.005586,12.6087,1
119,0.123263,12.4945,3
11,4.488668,12.9516,3
47,0.001086,13.1128,2
65,0.001235,12.6951,2
102,4.284606,13.1648,1
30,0.030275,13.3792,3
84,1.100909,12.6502,2
120,0.576722,13.7258,1
12,0.003842,13.6736,2
