Номер вектора,Вектор,a_max
1,"[12804801, 16610805, 5579446, 13444330, 2963848, 7054288, 9983901, 14484033, 5070750, 5932004, 12383043, 3075604, 14652399, 12801819, 9625003, 12276443, 7584239, 11313661, 14102260, 12773243, 15102350, 7835150, 5084043, 7926201]",16777216
2,"[12113848, 3710342, 759184, 7445651, 8904702, 290044, 2948956, 5354600, 5066539, 12975794, 14352773, 14171140, 8478090, 10354154, 920690, 1769171, 10689631, 3645038, 15084297, 9310633, 12437466, 14502152, 13541300, 7489508]",16777216
3,"[14750967, 14662880, 8861469, 956297, 13122088, 16420731, 12899977, 13040491, 6114002, 8972462, 6552243, 2555958, 5774949, 1611337, 7667465, 11325097, 11235783, 16373586, 13873361, 7441758, 13788980, 1756354, 11157929, 12650848]",16777216
4,"[728223, 4072223, 11772773, 13706210, 1614525, 16451249, 10425687, 8766870, 11897746, 13717203, 14379222, 15042898, 4813223, 15435759, 15652990, 6524213, 8608594, 3474867, 4384342, 10346946, 3431201, 12777527, 8281413, 16317800]",16777216
5,"[8589429, 5823326, 16673818, 16344922, 6830877, 4439256, 7895316, 7721451, 13056887, 2657994, 9050615, 9353951, 10545263, 377681, 14873740, 7423090, 14192284, 3321134, 14924171, 115236, 521667, 856656, 12714347, 7791746]",16777216
6,"[13993548, 5575651, 10119715, 9187229, 7671663, 15448850, 11461513, 1532544, 7637066, 15837242, 4705459, 15550015, 169732, 12423679, 4101852, 7885767, 14104748, 15459663, 16310655, 13726354, 7680851, 13376329, 12223161, 7250405]",16777216
7,"[8324125, 3392241, 1784583, 3622534, 5767484, 13994507, 4159644, 9333870, 5486031, 13098338, 3582515, 3387272, 14896148, 12406441, 6030066, 11164187, 13784406, 7014639, 8097463, 10449834, 5077707, 10154535, 11472857, 6348180]",16777216
8,"[12383359, 11057709, 13365954, 4374936, 9154926, 13018322, 16312077, 4895408, 8040479, 2410196, 14523289, 5879718, 8409161, 7237013, 8108578, 16444493, 1087598, 13902385, 89400, 15134786, 4988448, 12360873, 6571183, 468769]",16777216
9,"[7631767, 7199624, 5240369, 8741823, 10700158, 12747478, 4351337, 1140263, 9258327, 7123536, 7411139, 9622148, 7670167, 14691720, 13031364, 8228542, 5379754, 4262531, 4188659, 2183570, 15332190, 8646591, 596752, 15810288]",16777216
10,"[808981, 10337238, 11777704, 213198, 6957377, 8305758, 976286, 5264597, 11422203, 1683111, 10984551, 11251524, 1217616, 10211644, 9938597, 15103426, 15958859, 6732041, 12518226, 10896336, 7523370, 11772111, 14183387, 16501081]",16777216
11,"[5750830, 11499955, 11311371, 3427656, 10750738, 4384046, 9101295, 11313836, 15010574, 14339373, 10326675, 10552993, 9072489, 9560355, 1175140, 8091144, 6584133, 12715373, 11009052, 1221403, 16612312, 2533429, 11271525, 3581021]",16777216
12,"[4347676, 4499419, 470364, 9215505, 9309891, 3147999, 15502815, 3773402, 4004921, 11692285, 10787679, 12849458, 16082240, 9237715, 2236679, 14566661, 11187770, 2484880, 2883693, 9393901, 14295393, 7952067, 9403755, 832339]",16777216
13,"[7098651, 2641011, 7750370, 8620663, 13446947, 4109727, 16480603, 6041394, 8853409, 4056648, 13989718, 7054621, 12176264, 5427456, 15382198, 8326154, 5385615, 7830059, 15197632, 8500013, 4427395, 6136490, 416968, 27325]",16777216
14,"[11264333, 15821463, 300645, 8534060, 8390542, 2193067, 4808309, 6190874, 10462349, 15362370, 2676744, 4468702, 8170714, 8321235, 7115303, 8775056, 4366093, 4872275, 1073098, 3985480, 15236533, 4829233, 12524102, 3842687]",16777216
15,"[15921437, 1994025, 4017606, 10728401, 13671977, 4552381, 12635368, 15450639, 9029794, 3593532, 3253859, 8501947, 13444754, 14863894, 6932093, 9998005, 13113976, 10956305, 15594879, 3510197, 7318239, 2193183, 3083710, 13829555]",16777216
16,"[8217307, 5140531, 8271172, 2514322, 4028232, 2369491, 1426918, 13947116, 13506541, 383225, 6992088, 6846524, 6862764, 17946, 15332379, 10826421, 5274278, 4964385, 5622635, 8156575, 8218734, 14120361, 7939638, 10765376]",16777216
17,"[7061052, 11097318, 1159209, 5480262, 7322909, 10863853, 2467841, 4451559, 7075385, 16576706, 9274987, 8690421, 14783883, 13040144, 10616342, 9912617, 8205328, 2847113, 1579430, 3917745, 5670687, 320715, 4819277, 14854953]",16777216
18,"[11946340, 9644701, 9575113, 16267909, 7841344, 5813018, 1477495, 14443257, 3868601, 11385091, 2266104, 2184698, 11681390, 5626318, 8182038, 8495593, 11919745, 13222127, 15828362, 16529978, 8189203, 10611038, 4945764, 2905604]",16777216
19,"[6130169, 1907835, 8046597, 2827726, 2356927, 6322796, 9928018, 2029433, 8400320, 2578955, 2312502, 16460682, 3338979, 14583061, 10148303, 4396896, 10520053, 13214966, 7872781, 1025797, 8749383, 2406709, 2987791, 6684709]",16777216
20,"[12333166, 15195427, 5895362, 9604887, 2673212, 2309872, 10047444, 12937131, 9306269, 5720831, 8804744, 1810118, 3882132, 10302513, 14740329, 15809937, 10274466, 3416510, 16055371, 5013272, 13873226, 9239456, 6078522, 1409339]",16777216
21,"[15822587, 10135765, 6573849, 1154008, 4576062, 8812694, 5505662, 5507554, 7652394, 619266, 6393665, 3822144, 6370925, 16013988, 3512851, 15056550, 11399057, 8280944, 1111663, 4219876, 1265688, 15224873, 11753567, 9739302]",16777216
22,"[8181217, 13487384, 15466458, 12248672, 5988104, 10105736, 12840507, 10444953, 16131098, 8797801, 5577280, 7564457, 7684341, 6408274, 10762295, 5431061, 5924712, 6333103, 7780236, 12075159, 13196341, 8086480, 9247325, 13760331]",16777216
23,"[4314701, 15155336, 11164093, 13999870, 16279808, 794217, 4174291, 10565751, 9652500, 16006390, 12874893, 5885040, 1993753, 11797326, 4486755, 8666284, 8210648, 1567615, 13480895, 9650479, 2785151, 8996579, 7952156, 7246347]",16777216
24,"[7708852, 1032672, 5258149, 16629615, 1246079, 3104690, 2245835, 13172724, 12415724, 8691674, 10479378, 4459113, 12276258, 9422844, 6800422, 14566075, 1002582, 9948018, 16300108, 9832366, 12899217, 11924113, 7340327, 12928312]",16777216
25,"[5432082, 16641868, 2957263, 14881747, 3464258, 9097529, 3580286, 1319315, 16239793, 16669544, 3513290, 2852063, 10560197, 2267564, 5783831, 1445035, 6177187, 12664066, 14656345, 9508800, 13540438, 10494862, 3797762, 14958618]",16777216
26,"[151649, 2514467, 12466797, 1633162, 735831, 7712883, 10724108, 11166138, 6658018, 5688591, 3279946, 12137284, 1938197, 4375819, 3440438, 6987985, 12413744, 9786358, 16513122, 4414245, 12590708, 2797711, 6918241, 9819792]",16777216
27,"[16729925, 10611525, 1746141, 1818238, 16528259, 7883589, 10502726, 708211, 9761993, 8401185, 14630951, 10767509, 9342520, 3401538, 7115866, 5163982, 5908180, 15891324, 5866818, 13601869, 2634229, 7323569, 9001957, 3292704]",16777216
28,"[12676880, 534520, 8555597, 13149437, 14154231, 8024950, 9838941, 5368555, 13309569, 1080184, 5693315, 10774402, 12977244, 16513253, 4596166, 11434317, 14209760, 3400272, 7335763, 11089984, 10482280, 12964053, 14920637, 11488209]",16777216
29,"[11523995, 12773825, 12719941, 14844003, 15908985, 3266522, 12619858, 411625, 1273573, 12528112, 14755850, 8856158, 6772152, 7830245, 13633959, 5903663, 2687425, 333422, 14046875, 1660393, 10725481, 14375910, 2138913, 14607747]",16777216
30,"[12509258, 10514947, 4256151, 3141970, 14936058, 7390496, 9468598, 1260339, 1049281, 6565678, 11900778, 11235567, 9688324, 1050785, 14634836, 15941671, 15610123, 3758838, 15513363, 16207775, 11938978, 3170167, 9205803, 7122228]",16777216
31,"[1549777, 1036996, 1881194, 3797887, 11257021, 12874689, 5024321, 15516054, 11102574, 15376497, 15340620, 11714572, 15276780, 10474934, 1949602, 14776902, 15086490, 866694, 11212462, 1022852, 2239515, 10894005, 10976513, 4539712]",16777216
32,"[13959983, 5402844, 1701946, 14250891, 5469121, 15045323, 2622325, 12467886, 1633137, 5636364, 15444515, 245546, 14314996, 8954437, 4202821, 9765985, 12675081, 6379796, 6700945, 8202985, 1928224, 2247520, 12212602, 9478740]",16777216
33,"[6535985, 9371547, 7955832, 5275757, 5074241, 1091723, 16585131, 13887991, 6475800, 1788259, 818850, 3171821, 5761000, 16195339, 6335529, 10129842, 290108, 510054, 7739130, 10702489, 14107462, 2165640, 8124337, 5034134]",16777216
34,"[492590, 5835049, 16050537, 2729927, 6015171, 411239, 12474909, 5556389, 9557808, 3589951, 15654667, 3802900, 7211998, 15032559, 6979301, 14814428, 10500775, 14306855, 16433349, 4447978, 939380, 4295869, 683449, 11391651]",16777216
35,"[7009573, 5258201, 13957415, 10272753, 12733474, 8164314, 1696817, 4413399, 4731481, 13269790, 12429762, 4330296, 3720983, 2805167, 16545145, 16278152, 4139356, 3839855, 8926227, 5954527, 10929822, 9975229, 7667257, 12303357]",16777216
36,"[6802440, 8783300, 15537314, 1884767, 9242194, 11511509, 9530980, 8563886, 10504543, 12604516, 10266075, 11413986, 12341232, 4586696, 11117555, 6570809, 5987812, 12392104, 1346499, 12718241, 9265230, 10585586, 3815694, 2185659]",16777216
