Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
73,0.769088,0,Найдено точное решение,407
109,1.057617,16788,Нет улучшений на последних двух итерациях,527
46,1.107861,14563,Нет улучшений на последних двух итерациях,539
118,1.191246,4603,Нет улучшений на последних двух итерациях,606
100,1.263756,18528,Нет улучшений на последних двух итерациях,650
1,1.376774,6765,Нет улучшений на последних двух итерациях,666
28,1.367652,5928,Нет улучшений на последних двух итерациях,694
82,1.373360,17664,Нет улучшений на последних двух итерациях,722
19,1.608948,4311,Нет улучшений на последних двух итерациях,845
37,1.647807,12255,Нет улучшений на последних двух итерациях,895
127,1.809169,46349,Достигнуто максимальное число поколений,1000
10,1.914013,131197,Достигнуто максимальное число поколений,1000
91,1.873691,80164,Достигнуто максимальное число поколений,1000
55,1.892161,16042,Нет улучшений на последних двух итерациях,998
64,1.910387,19556,Достигнуто максимальное число поколений,1000
74,1.288984,23576,Нет улучшений на последних двух итерациях,675
119,0.993329,29678,Нет улучшений на последних двух итерациях,533
47,1.266629,45839,Нет улучшений на последних двух итерациях,684
101,1.226853,693,Нет улучшений на последних двух итерациях,650
2,1.211109,16128,Нет улучшений на последних двух итерациях,668
110,1.500359,86594,Нет улучшений на последних двух итерациях,812
38,1.100470,612,Нет улучшений на последних двух итерациях,609
83,1.350702,5779,Нет улучшений на последних двух итерациях,750
20,1.165866,28558,Нет улучшений на последних двух итерациях,640
11,0.941528,676,Нет улучшений на последних двух итерациях,522
56,1.065178,6058,Нет улучшений на последних двух итерациях,560
29,1.668623,5658,Нет улучшений на последних двух итерациях,946
128,1.175600,13860,Нет улучшений на последних двух итерациях,655
120,0.908329,3227,Нет улучшений на последних двух итерациях,542
92,1.268843,4463,Нет улучшений на последних двух итерациях,709
65,1.313954,11463,Нет улучшений на последних двух итерациях,763
75,1.186729,3743,Нет улучшений на последних двух итерациях,715
102,0.931702,38817,Нет улучшений на последних двух итерациях,540
48,1.106987,41452,Нет улучшений на последних двух итерациях,688
111,0.906413,8336,Нет улучшений на последних двух итерациях,502
3,1.089787,37091,Нет улучшений на последних двух итерациях,629
21,0.968525,22845,Нет улучшений на последних двух итерациях,575
