Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,76223722,0.29
2,1,48436377,0.29
3,1,48503673,0.25
4,1,37004700,0.17
5,1,109186808,0.50
6,1,41884568,0.17
7,1,112058558,0.50
8,1,70423441,0.29
9,1,71269148,0.33
10,1,58338937,0.21
11,2,22557608,0.12
12,2,60009858,0.21
13,2,45087452,0.29
14,2,64338234,0.33
15,2,46887928,0.21
16,2,59563449,0.29
17,2,28731964,0.12
18,2,84968869,0.38
19,2,88561176,0.46
20,2,49642930,0.25
21,3,122346808,0.50
22,3,86384788,0.29
23,3,56395938,0.29
24,3,91711405,0.42
25,3,118300145,0.42
26,3,23276497,0.17
27,3,108954013,0.50
28,3,49869720,0.21
29,3,81286913,0.38
30,3,93130386,0.42
31,4,52871798,0.25
32,4,76429704,0.33
33,4,52796083,0.21
34,4,98879390,0.50
35,4,61288206,0.29
36,4,43150395,0.17
37,4,43474549,0.12
38,4,101391281,0.38
39,4,115126763,0.46
40,4,54214776,0.21
41,5,97548225,0.46
42,5,19603432,0.17
43,5,63339739,0.33
44,5,57233315,0.33
45,5,41191945,0.21
46,5,97269790,0.42
47,5,19921115,0.17
48,5,96701007,0.50
49,5,56033148,0.29
50,5,34821849,0.12
51,6,96970723,0.38
52,6,76191938,0.33
53,6,56710368,0.25
54,6,20255474,0.08
55,6,122890747,0.50
56,6,104510866,0.42
57,6,62310706,0.25
58,6,20976759,0.08
59,6,56564041,0.25
60,6,41248858,0.12
61,7,19350978,0.12
62,7,54787964,0.33
63,7,103110177,0.50
64,7,26190847,0.08
65,7,58693445,0.42
66,7,65724672,0.29
67,7,44193427,0.21
68,7,104222043,0.42
69,7,30588311,0.17
70,7,64870124,0.38
71,8,64764507,0.33
72,8,90696427,0.42
73,8,65299610,0.25
74,8,101968586,0.38
75,8,70368052,0.33
76,8,101720455,0.50
77,8,84034326,0.33
78,8,62358774,0.33
79,8,74320977,0.29
80,8,74189550,0.25
81,9,28971891,0.12
82,9,73889259,0.46
83,9,93262210,0.46
84,9,55108424,0.25
85,9,27808776,0.21
86,9,28578680,0.12
87,9,37770736,0.21
88,9,54133198,0.29
89,9,37670660,0.17
90,9,31739230,0.12
91,10,73659434,0.33
92,10,84356436,0.29
93,10,21321789,0.08
94,10,36814134,0.12
95,10,101392693,0.50
96,10,106633575,0.46
97,10,36311559,0.21
98,10,60635547,0.29
99,10,55613395,0.21
100,10,93438046,0.38
101,11,98799542,0.42
102,11,19399164,0.08
103,11,33567329,0.21
104,11,43374309,0.21
105,11,41174649,0.21
106,11,38681322,0.25
107,11,29209340,0.12
108,11,113312308,0.50
109,11,24851026,0.12
110,11,72477852,0.42
111,12,72865749,0.42
112,12,70283764,0.46
113,12,59719046,0.25
114,12,13714924,0.08
115,12,78031645,0.42
116,12,77476116,0.46
117,12,63610315,0.38
118,12,39949826,0.21
119,12,35538381,0.21
120,12,89976099,0.38
121,13,71840286,0.42
122,13,88640412,0.46
123,13,36398028,0.21
124,13,83835600,0.46
125,13,60575607,0.29
126,13,13966549,0.08
127,13,44639707,0.25
128,13,66698904,0.42
129,13,95936267,0.42
130,13,77102403,0.50
131,14,15222384,0.17
132,14,61381435,0.38
133,14,86294393,0.50
134,14,15550458,0.12
135,14,15193014,0.12
136,14,29518314,0.17
137,14,44449365,0.25
138,14,19602626,0.08
139,14,70137886,0.38
140,14,25522971,0.12
141,15,39499364,0.21
142,15,33091664,0.17
143,15,68088159,0.29
144,15,38092266,0.17
145,15,127848359,0.50
146,15,63214529,0.25
147,15,72719270,0.38
148,15,116788701,0.50
149,15,18933215,0.17
150,15,59031038,0.25
151,16,65744387,0.42
152,16,9360846,0.08
153,16,28528291,0.12
154,16,17611900,0.08
155,16,70033988,0.33
156,16,34932621,0.21
157,16,40573667,0.21
158,16,52098466,0.29
159,16,17527617,0.12
160,16,73922375,0.33
161,17,59296870,0.38
162,17,49611219,0.21
163,17,54967467,0.29
164,17,96357595,0.50
165,17,20630366,0.17
166,17,33556581,0.12
167,17,18598586,0.12
168,17,42896410,0.29
169,17,83317471,0.50
170,17,25881201,0.08
171,18,88879054,0.42
172,18,98738655,0.46
173,18,49116984,0.29
174,18,38276422,0.12
175,18,68202149,0.29
176,18,96003336,0.46
177,18,119323490,0.50
178,18,106594642,0.42
179,18,86396962,0.38
180,18,37774688,0.12
181,19,26935651,0.21
182,19,25418577,0.12
183,19,28703884,0.21
184,19,47625648,0.21
185,19,13507844,0.08
186,19,48056646,0.29
187,19,25691153,0.29
188,19,81698621,0.50
189,19,34958649,0.25
190,19,45212890,0.33
191,20,50269854,0.25
192,20,52091822,0.21
193,20,51695197,0.25
194,20,26269454,0.12
195,20,93507528,0.46
196,20,87000815,0.50
197,20,37418299,0.12
198,20,95964402,0.46
199,20,59398646,0.29
200,20,76360810,0.38
201,21,23922371,0.12
202,21,42456036,0.25
203,21,37005957,0.17
204,21,90177822,0.46
205,21,78153756,0.46
206,21,98056777,0.42
207,21,81891492,0.38
208,21,79089499,0.46
209,21,69710964,0.42
210,21,22673658,0.12
211,22,89832040,0.42
212,22,114166406,0.50
213,22,123621163,0.50
214,22,119235215,0.46
215,22,54594149,0.21
216,22,70478759,0.29
217,22,72350181,0.38
218,22,27741313,0.12
219,22,61596740,0.21
220,22,79433462,0.33
221,23,16445065,0.12
222,23,104428032,0.46
223,23,83263215,0.42
224,23,26355788,0.08
225,23,23816382,0.12
226,23,49596908,0.29
227,23,14868646,0.08
228,23,19660242,0.17
229,23,42577235,0.25
230,23,108330273,0.50
231,24,111977674,0.46
232,24,112106553,0.42
233,24,13170192,0.08
234,24,49418687,0.33
235,24,56942409,0.33
236,24,81592602,0.38
237,24,8046501,0.08
238,24,82904047,0.38
239,24,83492129,0.42
240,24,108516521,0.50
241,25,120235447,0.50
242,25,49146898,0.21
243,25,82812471,0.46
244,25,97327199,0.46
245,25,81727238,0.38
246,25,9297121,0.08
247,25,71275407,0.38
248,25,51999284,0.25
249,25,102367677,0.50
250,25,24038411,0.12
251,26,18575760,0.17
252,26,35854085,0.25
253,26,69861097,0.38
254,26,70439177,0.42
255,26,65491938,0.42
256,26,69150294,0.33
257,26,51240728,0.33
258,26,49988574,0.29
259,26,19884202,0.12
260,26,81762995,0.50
261,27,79252592,0.42
262,27,28140191,0.12
263,27,56370249,0.29
264,27,17077755,0.12
265,27,37103443,0.12
266,27,53118245,0.25
267,27,45129583,0.17
268,27,25131110,0.08
269,27,83690965,0.46
270,27,96893582,0.46
271,28,30709656,0.12
272,28,62533302,0.29
273,28,83173198,0.38
274,28,45288021,0.17
275,28,23985802,0.12
276,28,71209129,0.29
277,28,14490256,0.08
278,28,97581412,0.33
279,28,69040103,0.29
280,28,71725690,0.33
281,29,35606752,0.21
282,29,94714090,0.46
283,29,67012155,0.38
284,29,87798674,0.46
285,29,62555283,0.25
286,29,115611839,0.50
287,29,57169834,0.33
288,29,68615064,0.38
289,29,71785363,0.33
290,29,29717637,0.21
291,30,84421791,0.42
292,30,90546385,0.50
293,30,42809580,0.21
294,30,44099201,0.21
295,30,89091484,0.38
296,30,89914241,0.42
297,30,80508241,0.33
298,30,101331013,0.46
299,30,19291274,0.08
300,30,43186982,0.29
301,31,59235755,0.29
302,31,19316614,0.08
303,31,45567367,0.21
304,31,53127728,0.21
305,31,84602873,0.42
306,31,77860545,0.29
307,31,37537826,0.25
308,31,31777079,0.21
309,31,88558982,0.50
310,31,30856674,0.08
311,32,83020681,0.46
312,32,104355389,0.46
313,32,30921598,0.12
314,32,35128753,0.17
315,32,73991334,0.38
316,32,75440613,0.46
317,32,90926971,0.33
318,32,19370566,0.17
319,32,116242926,0.50
320,32,137116868,0.50
321,33,15983150,0.12
322,33,35734583,0.12
323,33,84748623,0.46
324,33,38206665,0.25
325,33,45917655,0.38
326,33,13963237,0.12
327,33,82033320,0.42
328,33,55531927,0.29
329,33,33658395,0.21
330,33,57991626,0.46
331,34,69587322,0.46
332,34,10988568,0.17
333,34,10775617,0.12
334,34,25082957,0.12
335,34,32307311,0.25
336,34,94389429,0.42
337,34,102971052,0.42
338,34,68849238,0.33
339,34,88891331,0.42
340,34,25048920,0.17
341,35,51537902,0.25
342,35,44769532,0.17
343,35,29372726,0.17
344,35,50445293,0.29
345,35,92168540,0.50
346,35,38466609,0.17
347,35,60715487,0.46
348,35,60361362,0.29
349,35,30431033,0.12
350,35,53911576,0.29
351,36,92136338,0.38
352,36,8687207,0.08
353,36,8455576,0.08
354,36,104370004,0.50
355,36,77857132,0.33
356,36,109137740,0.50
357,36,54931579,0.21
358,36,86577403,0.42
359,36,56872269,0.25
360,36,63217983,0.25
361,37,53886623,0.29
362,37,58266978,0.33
363,37,72893751,0.38
364,37,50155172,0.25
365,37,41281292,0.29
366,37,40214118,0.25
367,37,62920848,0.25
368,37,38296185,0.17
369,37,83026744,0.42
370,37,47037206,0.21
371,38,84739398,0.38
372,38,108843943,0.50
373,38,29239459,0.17
374,38,100209038,0.50
375,38,3506226,0.08
376,38,10108975,0.08
377,38,55470273,0.25
378,38,13028631,0.17
379,38,73125831,0.42
380,38,53503649,0.25
381,39,33606083,0.29
382,39,92082522,0.46
383,39,72658204,0.33
384,39,20770398,0.08
385,39,48925333,0.25
386,39,110436306,0.42
387,39,66969228,0.29
388,39,77025686,0.42
389,39,117365224,0.50
390,39,7866410,0.08
391,40,16410175,0.08
392,40,42945204,0.17
393,40,38630130,0.17
394,40,31125867,0.21
395,40,20948916,0.08
396,40,11641188,0.08
397,40,3592846,0.08
398,40,67590167,0.33
399,40,49085357,0.25
400,40,47277260,0.29
401,41,24230324,0.17
402,41,10237228,0.12
403,41,28903546,0.21
404,41,46156254,0.17
405,41,91548187,0.42
406,41,97882171,0.50
407,41,74552365,0.46
408,41,69730300,0.42
409,41,42281732,0.29
410,41,33931177,0.25
411,42,22140865,0.12
412,42,78187367,0.50
413,42,51178889,0.29
414,42,42356110,0.21
415,42,26662715,0.25
416,42,66924134,0.25
417,42,103105028,0.46
418,42,84721330,0.46
419,42,44886679,0.29
420,42,36089510,0.21
421,43,78989483,0.42
422,43,46099178,0.33
423,43,99356050,0.46
424,43,88050953,0.33
425,43,35606358,0.12
426,43,50078395,0.29
427,43,87931588,0.42
428,43,101534689,0.50
429,43,22286239,0.12
430,43,54235261,0.33
431,44,65080291,0.33
432,44,61292693,0.38
433,44,20531132,0.17
434,44,29399932,0.21
435,44,46159988,0.25
436,44,56047650,0.38
437,44,26014585,0.17
438,44,89901501,0.46
439,44,50428594,0.38
440,44,72779897,0.46
441,45,58815532,0.46
442,45,48083969,0.33
443,45,92788543,0.50
444,45,72215956,0.50
445,45,57506512,0.21
446,45,67996799,0.42
447,45,61600447,0.42
448,45,32210428,0.17
449,45,9621180,0.17
450,45,32038534,0.17
451,46,111397778,0.46
452,46,83711982,0.46
453,46,49952059,0.25
454,46,26917020,0.08
455,46,95300250,0.38
456,46,32514656,0.12
457,46,14267834,0.12
458,46,60076481,0.21
459,46,115876053,0.50
460,46,85606455,0.42
461,47,59975719,0.21
462,47,57782303,0.29
463,47,46406573,0.21
464,47,18532785,0.08
465,47,43553222,0.21
466,47,85117052,0.33
467,47,77775039,0.29
468,47,26896817,0.17
469,47,116630924,0.50
470,47,83743109,0.42
471,48,47650426,0.17
472,48,21147010,0.08
473,48,30566255,0.17
474,48,120867330,0.50
475,48,101205498,0.46
476,48,13754740,0.12
477,48,89531530,0.42
478,48,59699159,0.25
479,48,108126601,0.46
480,48,100960396,0.50
481,49,60232544,0.29
482,49,119448146,0.46
483,49,94996865,0.42
484,49,83983822,0.33
485,49,87504028,0.46
486,49,76239898,0.42
487,49,94725735,0.42
488,49,49107973,0.21
489,49,54084336,0.29
490,49,114636560,0.42
491,50,82191578,0.50
492,50,34704392,0.21
493,50,37727376,0.17
494,50,15303736,0.08
495,50,56000443,0.25
496,50,39586986,0.21
497,50,5217727,0.08
498,50,9010143,0.08
499,50,7910200,0.08
500,50,61501806,0.29
