Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
19,0.972576,13.1492,22
109,0.089405,13.0924,16
55,0.122361,13.1091,12
91,0.047162,13.4006,10
37,0.445965,13.4378,20
1,0.012208,13.2347,16
73,0.000426,13.4632,17
20,1.209344,13.1812,18
110,0.005546,12.8102,13
74,0.733374,12.8831,14
2,0.39618,13.6069,17
92,0.000505,12.973,22
38,0.158929,13.0489,15
56,0.354826,13.6607,13
21,0.00014,13.8625,21
111,0.720232,13.5067,21
75,0.001075,13.8944,17
39,0.02388,13.4636,15
3,0.168214,13.2718,12
93,0.796516,13.1728,22
57,0.005919,12.8114,15
22,0.00015,13.4624,12
112,0.06109,12.9486,16
76,0.000576,12.7084,16
94,0.363894,13.1688,11
40,0.184885,13.1503,21
4,0.2899,12.9282,18
58,0.129819,12.6376,16
23,0.037809,12.6901,20
77,0.187562,13.3217,13
113,0.150755,13.1334,28
41,0.604567,13.2317,20
95,0.024396,13.3198,12
59,0.035055,13.3832,17
5,0.000114,12.8628,16
24,0.090758,13.009,22
78,0.210333,13.273,19
60,0.33494,12.5163,16
114,0.351558,13.2114,20
42,0.024991,13.3491,19
6,0.319379,12.8828,16
96,0.467589,12.8649,18
25,0.039382,13.2889,21
79,0.039293,13.1899,13
61,0.048584,12.7943,16
115,0.242584,12.7054,25
7,1.538641,13.0756,13
43,1.044904,12.7212,21
97,0.083862,12.817,11
26,0.001255,12.5271,20
80,0.660591,13.1268,21
116,0.000083,13.1054,15
62,0.014862,12.795,17
8,0.612657,13.1158,23
44,1.071028,12.9815,26
98,0.232779,13.3577,16
27,0.001722,12.1896,14
81,0.001167,12.6275,17
117,0.00016,12.9538,21
9,0.864937,13.2754,16
63,0.002,13.0656,23
45,0.18623,12.7959,18
99,0.00079,12.9693,24
28,0.017794,13.2529,23
82,0.0719,13.1331,12
10,0.325335,13.0064,21
64,0.065748,12.8935,15
118,0.096674,13.167,14
46,2.183499,13.1483,17
100,0.079624,12.6209,17
29,0.085505,12.7028,17
83,0.005125,13.27,25
119,0.735887,13.0315,17
65,0.32018,12.9849,13
11,0.384143,12.324,17
47,0.023656,13.1032,15
101,0.000668,12.5365,11
30,0.877757,13.4688,17
84,0.001084,12.8787,24
120,0.003927,13.2961,25
66,0.003864,12.7645,10
12,0.028222,14.158,16
48,1.293524,13.256,18
102,0.040069,13.331,20
31,0.266425,13.3354,22
85,1.769963,13.0673,20
121,0.126942,13.2665,10
67,0.015139,13.1353,20
13,0.367138,13.0026,18
49,0.110729,12.827,18
103,0.563928,12.9966,15
32,0.519076,12.9068,18
86,0.767533,13.4299,14
122,0.007601,13.743,13
68,1.51237,12.7889,18
14,0.086773,12.4894,16
50,0.240634,12.651,23
104,0.424455,13.3676,17
33,1.447273,13.1197,12
87,0.038862,13.6732,23
123,0.20993,13.5523,19
69,0.000534,13.2262,12
15,0.868381,13.1403,16
51,0.25028,13.2364,15
105,0.001035,12.8536,15
34,0.40467,13.5406,18
88,0.246842,13.0758,23
124,0.000031,13.7442,18
70,0.151507,13.5553,15
16,1.311123,12.9772,16
52,0.039348,12.8476,17
106,1.066567,12.3805,12
35,0.000389,12.8934,21
89,0.010194,12.3695,21
125,0.147899,12.779,20
71,0.232247,12.6344,20
53,0.145595,12.713,15
17,1.08905,12.6066,12
107,0.000177,12.2004,20
36,0.23508,13.5049,22
90,0.000978,12.4827,19
126,0.028735,12.4997,24
72,0.001171,12.2931,20
54,0.225121,12.8727,15
18,0.454384,12.9871,13
108,0.001115,12.3831,17
127,0.087347,12.6063,21
145,1.602189,12.9625,23
163,0.031419,12.9354,22
181,1.738782,13.1258,27
199,0.183739,13.2106,18
217,0.064358,12.5419,14
235,0.000888,12.285,25
128,0.964928,13.179,19
146,0.236669,13.0644,24
164,1.297866,13.0699,17
182,0.000477,13.5029,26
200,0.004026,12.898,24
218,0.02989,13.0996,13
236,0.777952,12.9344,15
129,0.00039,12.9742,21
147,0.014879,13.5361,15
165,0.000136,12.884,15
183,0.001591,14.6344,16
201,0.036565,13.7883,16
219,0.029607,13.8615,19
237,0.001545,14.0797,24
130,0.004584,13.687,15
148,1.125235,13.5954,25
166,0.462452,14.0571,16
184,0.076454,13.6923,18
202,0.0004,13.5001,19
220,1.34206,13.3664,18
238,0.901151,13.4534,12
131,0.383725,12.6876,16
149,0.033256,12.9659,16
167,0.000841,13.0237,24
185,0.291275,13.2779,16
203,0.18069,13.1669,16
221,0.765587,13.2808,16
239,0.005658,12.9326,12
132,0.045206,12.1831,12
150,0.635772,13.2711,19
168,0.145286,12.5034,16
186,0.082866,12.7268,13
204,0.001218,12.5845,16
222,0.249731,12.7057,17
240,0.022362,13.1955,17
133,0.002482,13.2853,14
151,0.030096,12.7346,19
169,0.000195,13.0705,15
187,0.000812,13.438,20
205,0.333392,12.8209,18
223,0.000681,13.0943,9
241,0.198569,13.1788,23
134,1.265868,13.1233,21
152,0.034608,12.9486,14
170,0.00655,12.6462,14
188,0.000665,12.9086,14
206,0.591576,12.3478,13
224,0.143263,12.3066,20
242,0.044807,12.6333,10
135,0.748734,13.0728,24
153,0.026537,12.9868,19
171,0.00853,12.8933,19
189,0.162145,12.5038,25
207,0.413267,12.5643,21
225,0.314502,12.9716,16
243,0.000076,12.5163,19
136,0.13409,12.79,18
154,0.103356,12.576,14
172,0.052704,13.3437,17
208,0.786503,12.6311,14
190,0.00012,13.1792,24
244,0.271066,12.4286,23
226,0.326778,13.0398,27
137,0.041224,12.4186,15
173,0.009139,12.5865,21
155,0.008225,13.2266,14
209,0.00671,13.6891,9
191,0.240098,12.9608,20
245,0.031552,12.794,16
227,0.059045,12.5668,13
138,0.007055,12.854,15
174,0.254713,12.8865,16
156,0.0002,13.4182,21
210,0.000203,13.5953,17
192,0.105573,12.7133,17
246,0.180293,12.3595,18
228,0.009153,12.8603,20
139,0.001038,12.8062,28
175,1.104113,12.7732,16
157,0.93763,12.2756,19
211,0.438056,12.7726,16
193,0.020516,13.2707,19
247,0.550849,13.0082,25
229,0.003882,12.9094,18
140,0.29066,12.5676,23
176,0.56598,12.4231,18
158,1.591265,12.8689,20
212,0.043703,13.1797,15
194,0.004926,12.3385,23
248,1.26102,12.9131,19
230,0.012638,12.5803,23
141,0.064172,12.5226,15
177,0.140706,13.0889,14
159,0.038176,12.8074,14
213,0.002517,13.0667,16
