Номер вектора,Вектор,a_max
1,"[715756, 699254, 164692, 945653, 445211, 143556, 185484, 732323, 1009664, 668306, 578733, 684646, 299822, 747155, 926447, 1048343, 714160, 1026800, 985569, 829433, 804287, 237066, 445795, 461749]",1048576
2,"[147633, 813474, 302305, 835002, 405916, 114053, 866266, 956599, 100115, 985616, 390345, 584986, 845697, 903872, 206135, 195805, 962579, 342493, 67560, 705575, 20471, 653027, 192124, 51000]",1048576
3,"[411376, 921874, 935092, 531568, 647373, 166426, 473850, 356494, 721353, 597637, 239274, 698932, 1003151, 52116, 366507, 278829, 2482, 651587, 175986, 397819, 448251, 987033, 49805, 600394]",1048576
4,"[434805, 646447, 1047087, 608532, 889870, 32002, 35474, 282547, 13436, 243495, 368953, 65045, 439207, 818747, 670664, 95, 222354, 894255, 625958, 714645, 632184, 81183, 584268, 516271]",1048576
5,"[282947, 351464, 751528, 519233, 430924, 365975, 609952, 160536, 336753, 553355, 270262, 298726, 228811, 299785, 922784, 205695, 484845, 417343, 22512, 373028, 518588, 457558, 274774, 175893]",1048576
6,"[795059, 545033, 502130, 985613, 557634, 374150, 494637, 694401, 759171, 334916, 100485, 291932, 266904, 571177, 945209, 773864, 955604, 125852, 1022478, 18392, 825403, 253630, 288713, 799435]",1048576
7,"[631763, 550079, 866171, 632239, 451624, 758697, 648925, 174028, 914449, 116209, 968324, 29984, 670920, 523136, 717830, 157458, 395948, 77394, 430577, 357437, 58903, 972135, 564294, 405763]",1048576
8,"[533460, 301451, 420245, 541660, 105241, 747921, 457800, 227033, 150829, 936532, 83867, 684796, 90664, 975250, 344071, 245907, 478897, 383106, 37834, 212622, 334247, 74870, 97358, 191479]",1048576
9,"[35567, 654060, 86193, 652182, 298733, 905126, 626116, 332322, 170584, 243513, 721450, 761254, 612882, 807278, 837557, 234864, 573822, 568878, 134822, 606856, 639819, 868198, 219919, 10265]",1048576
10,"[351165, 215445, 887864, 142559, 1006016, 658311, 811127, 185070, 53675, 751211, 649913, 410750, 579474, 545289, 770769, 673489, 475836, 433807, 556043, 737703, 602173, 918496, 961843, 247600]",1048576
11,"[184686, 104742, 676296, 934111, 827501, 578827, 418925, 50940, 1034644, 416655, 980846, 232615, 101511, 6111, 964396, 376007, 939866, 853051, 959922, 934297, 1015120, 630404, 121437, 55061]",1048576
12,"[606806, 549891, 196913, 600937, 438946, 62407, 661091, 499754, 365035, 74159, 137098, 518668, 527626, 151954, 46726, 983378, 566291, 227748, 352118, 545802, 992812, 307929, 669721, 58422]",1048576
13,"[93201, 1081, 206718, 382527, 745397, 388395, 111979, 824409, 347962, 292060, 312717, 630991, 405224, 471747, 44437, 1035472, 873227, 942339, 913855, 920717, 701455, 12835, 563170, 246366]",1048576
14,"[970076, 907330, 412549, 752700, 590672, 620476, 848789, 135173, 26005, 258612, 82010, 672270, 656742, 182713, 232552, 364461, 718975, 880267, 1040037, 484513, 140568, 243826, 616914, 1033744]",1048576
15,"[358930, 723109, 689283, 437635, 172940, 320612, 583386, 1039773, 513001, 171237, 688141, 130339, 607873, 245083, 1008896, 622782, 1039566, 668916, 139298, 407868, 593619, 849277, 484287, 662144]",1048576
16,"[874146, 523415, 859842, 71976, 559595, 398796, 745937, 326575, 1005633, 487289, 18655, 43992, 458723, 20807, 871693, 113239, 9305, 325994, 1023037, 830204, 34813, 127978, 385704, 257347]",1048576
17,"[139407, 270581, 897698, 340236, 347321, 503038, 329751, 226249, 47848, 259193, 220456, 569240, 154304, 980041, 482783, 96742, 143550, 163838, 959700, 568784, 176244, 160197, 202122, 94617]",1048576
18,"[856672, 858833, 228287, 452227, 512109, 799118, 330833, 948400, 102033, 389973, 844699, 576553, 352267, 337335, 615423, 94131, 598652, 506733, 373520, 186239, 978137, 760006, 281662, 477191]",1048576
19,"[171008, 816886, 361835, 549744, 380627, 63644, 746401, 122616, 969503, 1000386, 178912, 885197, 817749, 237845, 558430, 536239, 1027656, 907534, 363890, 439569, 1028311, 397540, 74287, 821471]",1048576
20,"[463038, 474619, 437905, 841440, 869319, 706120, 939646, 168867, 256866, 722413, 458846, 386483, 424838, 309661, 550907, 171935, 946797, 448736, 329553, 299280, 12800, 75968, 540147, 494066]",1048576
21,"[587, 799081, 935944, 1037600, 758698, 73953, 492900, 676716, 237214, 908757, 614952, 571424, 44388, 560399, 870676, 1032672, 627992, 112011, 373852, 552005, 771402, 796176, 537606, 465981]",1048576
22,"[546899, 1019720, 352896, 846987, 526054, 441994, 731546, 370587, 1037709, 668883, 869619, 44197, 556761, 516912, 7968, 290815, 296421, 365808, 831753, 540539, 969623, 226778, 357452, 881442]",1048576
23,"[733305, 128103, 391836, 180340, 465977, 448487, 716483, 459721, 801014, 318316, 7906, 906866, 530858, 828327, 11065, 678342, 507115, 735975, 177378, 997507, 939406, 223784, 237976, 149674]",1048576
24,"[963359, 362589, 6099, 528257, 51404, 865250, 879707, 128052, 995135, 67169, 1010427, 706143, 85957, 755755, 464708, 786675, 488957, 108338, 1035006, 1030900, 132300, 267244, 358550, 251723]",1048576
25,"[841873, 9726, 321005, 437407, 240701, 849116, 798822, 773112, 542823, 340828, 928768, 787281, 311767, 897713, 639340, 176079, 944756, 399944, 854643, 201679, 126034, 76777, 239796, 212040]",1048576
26,"[1009787, 442189, 41971, 12318, 394046, 89165, 170057, 852649, 265586, 509381, 567432, 720715, 908525, 796795, 390897, 717222, 902297, 466863, 594854, 566668, 502915, 991488, 984987, 618359]",1048576
27,"[155866, 684368, 875756, 1009262, 802267, 973490, 661444, 431955, 176380, 726115, 404135, 36600, 328810, 863234, 322773, 771680, 599880, 629152, 210448, 346015, 219582, 441660, 619622, 552383]",1048576
28,"[617620, 407886, 942774, 59282, 974940, 324078, 834334, 339596, 652363, 161513, 105637, 197017, 445924, 766447, 249057, 218308, 905502, 910533, 78806, 611228, 69186, 40339, 284400, 821709]",1048576
29,"[712130, 412887, 390596, 496001, 107471, 924469, 34791, 108119, 875921, 935634, 55520, 1046487, 433211, 413274, 849474, 476086, 1020733, 1042949, 800768, 215015, 1027482, 341018, 1042407, 734503]",1048576
30,"[1034203, 112503, 163134, 627556, 996116, 171739, 728122, 437587, 400463, 1033567, 731934, 187703, 210971, 126938, 463151, 481440, 921646, 744223, 698442, 442119, 1010026, 959213, 507033, 943548]",1048576
31,"[690672, 681190, 1009055, 480909, 46497, 956371, 81969, 404655, 686952, 805352, 99486, 490198, 254231, 1047125, 900617, 970197, 249960, 532550, 225914, 419392, 987838, 245480, 384050, 712423]",1048576
32,"[297841, 731396, 693299, 586803, 540568, 793849, 989779, 246958, 165537, 136406, 879849, 23952, 175301, 700214, 727534, 413550, 99890, 993443, 462291, 93238, 285211, 166086, 154019, 315893]",1048576
33,"[666833, 733361, 964802, 103612, 643467, 815127, 819107, 471462, 828158, 832776, 596429, 1005107, 73756, 1025286, 563227, 560514, 748567, 608251, 262618, 376014, 971004, 959237, 299871, 458220]",1048576
34,"[353600, 683741, 1010483, 187409, 276348, 715205, 231171, 151999, 12855, 253775, 906216, 610851, 22555, 714253, 753361, 185608, 380248, 332160, 527074, 951162, 1027623, 536473, 461163, 786122]",1048576
35,"[473652, 369053, 219976, 505571, 592269, 218299, 747607, 649824, 66738, 800789, 243413, 797937, 395401, 885334, 1037843, 907156, 433533, 537060, 336294, 838748, 796881, 59377, 317719, 167683]",1048576
36,"[670626, 71873, 676416, 448842, 1014751, 651721, 1026042, 661366, 940499, 459796, 518410, 964022, 596567, 382031, 1003746, 713929, 429105, 539242, 824622, 867640, 567677, 806999, 763272, 168066]",1048576
37,"[344874, 184134, 28998, 339469, 82674, 923797, 336712, 504056, 817405, 410968, 356058, 654916, 30003, 314622, 52741, 328099, 133668, 792815, 300674, 592637, 671659, 418043, 751899, 926896]",1048576
38,"[329462, 558823, 105797, 656451, 712500, 408875, 932343, 620775, 507931, 370866, 876595, 681719, 562982, 1006950, 477229, 797109, 375580, 87080, 966837, 564205, 273668, 584040, 1011048, 969910]",1048576
39,"[454480, 515016, 469182, 748481, 436020, 575231, 758311, 42827, 159765, 467747, 730292, 380538, 478989, 36144, 269208, 156980, 869491, 976358, 902937, 697682, 478560, 1033103, 164167, 96678]",1048576
40,"[334801, 631779, 350040, 81851, 567085, 234490, 356189, 448847, 399734, 279089, 432615, 892218, 134991, 671715, 281938, 943753, 790821, 750395, 931268, 412531, 237229, 755909, 339157, 613588]",1048576
41,"[719125, 1010835, 686928, 712745, 147852, 509895, 996915, 491834, 186147, 335397, 54269, 554588, 444667, 65814, 474256, 375502, 790309, 1031328, 1024664, 398082, 175772, 96670, 194310, 512262]",1048576
42,"[404336, 336127, 73096, 135456, 923110, 594146, 999978, 492735, 8937, 440454, 566321, 6841, 636489, 839988, 35171, 736444, 529612, 991849, 167298, 466735, 242254, 454355, 899352, 991909]",1048576
43,"[987286, 541265, 141620, 534419, 656626, 539624, 266819, 797254, 656655, 284627, 387775, 465090, 537842, 446974, 216546, 838315, 493483, 721794, 820349, 808204, 62678, 847667, 887296, 704193]",1048576
44,"[928604, 147976, 420620, 783230, 624475, 860483, 991595, 657943, 997383, 705894, 325623, 980507, 414512, 587413, 653664, 20709, 771614, 105481, 173229, 270332, 28944, 658946, 594272, 249229]",1048576
45,"[541772, 366021, 809643, 9042, 556798, 996040, 1041920, 85649, 254459, 868033, 936735, 1022596, 580501, 1048300, 1002661, 1001804, 777878, 542141, 832156, 613584, 995263, 405207, 585257, 1023286]",1048576
46,"[30060, 790899, 466707, 490230, 1019829, 17287, 407080, 456304, 861524, 1042300, 290832, 498735, 97302, 967966, 276853, 124665, 175442, 99754, 443310, 580256, 498624, 935849, 843830, 191320]",1048576
47,"[358885, 411824, 933428, 30170, 779654, 185716, 846677, 816089, 535465, 176647, 608595, 1005700, 686961, 599584, 954924, 198204, 700814, 435005, 689219, 529345, 80661, 481780, 410628, 355360]",1048576
48,"[237000, 294464, 941981, 205483, 94261, 333374, 137196, 954376, 510427, 86098, 347127, 360595, 726161, 499786, 363779, 648205, 900085, 483775, 901183, 761273, 892607, 406734, 278796, 364717]",1048576
49,"[15039, 130483, 726015, 248091, 303045, 776412, 732045, 519123, 1000907, 334618, 490756, 360853, 816848, 647396, 488337, 327600, 312847, 793247, 822141, 654792, 602896, 484960, 912375, 690181]",1048576
50,"[44400, 801031, 976452, 409438, 260738, 347448, 491744, 651939, 711883, 191204, 292528, 960598, 903436, 1029306, 679283, 491396, 783069, 115634, 295069, 298474, 412655, 775921, 748038, 234653]",1048576
