Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
46,0.553898,0,Найдено точное решение,313
10,0.890271,1617,Нет улучшений на последних двух итерациях,523
1,0.912605,838,Нет улучшений на последних двух итерациях,519
91,0.911197,2529,Нет улучшений на последних двух итерациях,526
73,0.926458,716,Нет улучшений на последних двух итерациях,517
28,0.945790,340,Нет улучшений на последних двух итерациях,533
19,0.984892,22,Нет улучшений на последних двух итерациях,588
118,1.132053,553,Нет улучшений на последних двух итерациях,637
64,1.312125,2931,Нет улучшений на последних двух итерациях,742
29,0.397051,0,Найдено точное решение,221
55,1.426822,2767,Нет улучшений на последних двух итерациях,824
100,1.487742,3490,Нет улучшений на последних двух итерациях,873
82,1.506482,46,Нет улучшений на последних двух итерациях,848
47,0.981297,266,Нет улучшений на последних двух итерациях,578
109,1.624945,2829,Нет улучшений на последних двух итерациях,961
127,1.685352,805,Нет улучшений на последних двух итерациях,971
37,1.783090,718,Достигнуто максимальное число поколений,1000
11,1.028242,5339,Нет улучшений на последних двух итерациях,583
20,0.968719,152,Нет улучшений на последних двух итерациях,533
2,1.089436,230,Нет улучшений на последних двух итерациях,599
92,1.471807,146,Нет улучшений на последних двух итерациях,807
74,1.537942,2487,Нет улучшений на последних двух итерациях,817
21,0.605751,0,Найдено точное решение,299
48,1.031965,269,Нет улучшений на последних двух итерациях,573
30,1.303573,73,Нет улучшений на последних двух итерациях,674
83,1.292240,2137,Нет улучшений на последних двух итерациях,677
128,1.113511,2221,Нет улучшений на последних двух итерациях,590
110,1.216128,5146,Нет улучшений на последних двух итерациях,616
12,1.020045,1323,Нет улучшений на последних двух итерациях,541
56,1.535412,2741,Нет улучшений на последних двух итерациях,810
65,1.699120,97,Нет улучшений на последних двух итерациях,912
119,1.866755,65,Достигнуто максимальное число поколений,1000
38,1.303892,1595,Нет улучшений на последних двух итерациях,673
101,1.897375,3635,Достигнуто максимальное число поколений,1000
22,0.911079,1145,Нет улучшений на последних двух итерациях,501
3,1.508069,0,Найдено точное решение,810
84,0.758064,0,Найдено точное решение,422
13,0.892627,915,Нет улучшений на последних двух итерациях,510
31,1.189304,64,Нет улучшений на последних двух итерациях,614
49,1.300278,1242,Нет улучшений на последних двух итерациях,679
111,1.074129,763,Нет улучшений на последних двух итерациях,560
129,1.126974,473,Нет улучшений на последних двух итерациях,625
66,0.954421,212,Нет улучшений на последних двух итерациях,512
57,1.040673,1574,Нет улучшений на последних двух итерациях,561
75,1.554993,2786,Нет улучшений на последних двух итерациях,848
85,0.543919,0,Найдено точное решение,291
14,0.353565,0,Найдено точное решение,201
93,1.876778,4914,Достигнуто максимальное число поколений,1000
39,1.213050,1193,Нет улучшений на последних двух итерациях,656
4,0.877161,0,Найдено точное решение,496
120,1.348902,836,Нет улучшений на последних двух итерациях,719
50,0.975502,492,Нет улучшений на последних двух итерациях,519
58,1.011185,2195,Нет улучшений на последних двух итерациях,529
67,1.059767,484,Нет улучшений на последних двух итерациях,585
32,1.238122,3664,Нет улучшений на последних двух итерациях,679
23,1.649884,125,Нет улучшений на последних двух итерациях,901
130,1.168498,1589,Нет улучшений на последних двух итерациях,620
76,1.187350,0,Найдено точное решение,682
102,1.829000,2128,Достигнуто максимальное число поколений,1000
112,1.453018,2460,Нет улучшений на последних двух итерациях,788
86,1.293552,252,Нет улучшений на последних двух итерациях,731
94,1.162900,209,Нет улучшений на последних двух итерациях,655
121,1.094018,333,Нет улучшений на последних двух итерациях,603
15,1.402140,346,Нет улучшений на последних двух итерациях,751
5,1.251105,426,Нет улучшений на последних двух итерациях,667
113,0.238046,0,Найдено точное решение,133
95,0.451661,0,Найдено точное решение,246
51,1.048980,837,Нет улучшений на последних двух итерациях,596
131,0.877011,276,Нет улучшений на последних двух итерациях,519
68,0.985950,1078,Нет улучшений на последних двух итерациях,543
40,1.791691,359,Нет улучшений на последних двух итерациях,996
33,1.023969,779,Нет улучшений на последних двух итерациях,578
16,0.530154,0,Найдено точное решение,322
77,0.950302,1445,Нет улучшений на последних двух итерациях,521
24,1.280326,0,Найдено точное решение,710
103,1.289460,1924,Нет улучшений на последних двух итерациях,730
59,1.573435,254,Нет улучшений на последних двух итерациях,880
96,0.739178,0,Найдено точное решение,418
6,1.119115,299,Нет улучшений на последних двух итерациях,642
114,1.145273,925,Нет улучшений на последних двух итерациях,666
122,1.455321,1580,Нет улучшений на последних двух итерациях,818
17,0.892175,335,Нет улучшений на последних двух итерациях,507
123,0.118341,0,Найдено точное решение,64
132,1.050947,1029,Нет улучшений на последних двух итерациях,615
69,1.099439,986,Нет улучшений на последних двух итерациях,630
87,1.759317,32,Достигнуто максимальное число поколений,1000
78,1.023325,1768,Нет улучшений на последних двух итерациях,572
25,0.917693,975,Нет улучшений на последних двух итерациях,537
52,1.439714,70,Нет улучшений на последних двух итерациях,813
34,1.265283,1960,Нет улучшений на последних двух итерациях,739
97,0.952827,872,Нет улучшений на последних двух итерациях,529
60,1.256858,528,Нет улучшений на последних двух итерациях,682
35,0.565446,0,Найдено точное решение,311
41,1.844873,5084,Достигнуто максимальное число поколений,1000
133,1.008806,744,Нет улучшений на последних двух итерациях,562
115,1.329907,1904,Нет улучшений на последних двух итерациях,724
70,1.130691,2279,Нет улучшений на последних двух итерациях,602
